Iteration	Posterior	Likelihood	Prior	mu	sigma
107	-39.7834	-32.2524	-7.53104	10.0659	4.53531
108	-40.6879	-31.3323	-9.3556	10.3905	6.35987
109	-41.0396	-31.684	-9.3556	10.1019	6.35987
110	-41.9846	-32.629	-9.3556	9.39743	6.35987
111	-42.2719	-32.9163	-9.3556	9.19974	6.35987
112	-41.725	-33.2169	-8.50802	9.19974	5.51229
113	-41.725	-33.2169	-8.50802	9.19974	5.51229
114	-42.0837	-33.8337	-8.25	9.01948	5.25427
115	-42.9003	-34.6503	-8.25	8.66357	5.25427
116	-43.056	-34.806	-8.25	8.59791	5.25427
117	-43.3647	-35.4761	-7.88854	8.59791	4.89281
118	-43.4013	-35.5423	-7.85906	8.59791	4.86333
119	-43.5435	-35.7863	-7.75716	8.59791	4.76143
120	-42.9634	-34.2233	-8.74011	8.59791	5.74437
121	-43.2088	-35.1727	-8.03612	8.59791	5.04038
122	-42.9769	-34.1504	-8.82652	8.59791	5.83079
123	-43.9274	-35.1009	-8.82652	8.12371	5.83079
124	-44.0422	-35.5528	-8.48938	8.12371	5.49365
125	-44.1981	-34.4692	-9.72886	8.12371	6.73313
126	-44.1981	-34.4692	-9.72886	8.12371	6.73313
127	-44.3006	-34.4219	-9.87871	8.12371	6.88298
128	-44.0187	-34.14	-9.87871	8.31574	6.88298
129	-44.4761	-34.5974	-9.87871	8.0068	6.88298
130	-44.0623	-34.1836	-9.87871	8.28567	6.88298
131	-43.6012	-34.6593	-8.94193	8.28567	5.9462
132	-43.0371	-34.0952	-8.94193	8.58151	5.9462
133	-43.4487	-33.7929	-9.65577	8.58151	6.66004
134	-43.0065	-33.3507	-9.65577	8.88599	6.66004
135	-41.7904	-33.2408	-8.5496	9.17268	5.55386
136	-41.9948	-34.2889	-7.70591	9.17268	4.71018
137	-40.9151	-33.2092	-7.70591	9.58596	4.71018
138	-40.8892	-33.1248	-7.76441	9.58596	4.76868
139	-40.9301	-32.5415	-8.38865	9.58596	5.39292
140	-40.6534	-32.2648	-8.38865	9.73184	5.39292
141	-40.9238	-33.6758	-7.248	9.73184	4.25226
142	-38.4765	-31.2285	-7.248	10.6166	4.25226
143	-37.9966	-31.1322	-6.86443	10.8613	3.8687
144	-37.3174	-29.8355	-7.48189	11.1613	4.48616
145	-37.7639	-30.1041	-7.65979	11.0012	4.66406
146	-37.8962	-30.2364	-7.65979	10.9328	4.66406
147	-38.2142	-30.5544	-7.65979	10.7727	4.66406
148	-38.4144	-30.7546	-7.65979	10.6749	4.66406
149	-38.4144	-30.7546	-7.65979	10.6749	4.66406
150	-37.8403	-30.1805	-7.65979	10.9616	4.66406
151	-38.1498	-30.49	-7.65979	10.8047	4.66406
152	-40.9919	-31.1593	-9.8326	10.8047	6.83687
153	-39.1851	-30.4886	-8.69657	10.8475	5.70083
154	-39.1851	-30.4886	-8.69657	10.8475	5.70083
155	-37.3009	-30.3713	-6.9296	11.1017	3.93387
156	-38.2793	-30.9648	-7.3145	10.694	4.31877
157	-37.3895	-30.075	-7.3145	11.0811	4.31877
158	-37.7767	-30.4622	-7.3145	10.9084	4.31877
159	-37.4503	-30.1358	-7.3145	11.0535	4.31877
160	-36.4978	-29.283	-7.21482	11.4727	4.21909
161	-34.9529	-27.7381	-7.21482	12.31	4.21909
162	-35.3103	-28.0954	-7.21482	12.096	4.21909
163	-34.7823	-28.2073	-6.57495	12.096	3.57922
164	-34.7823	-28.2073	-6.57495	12.096	3.57922
165	-34.8809	-28.7148	-6.1661	12.096	3.17037
166	-36.3872	-28.918	-7.4692	11.6504	4.47347
167	-36.3872	-28.918	-7.4692	11.6504	4.47347
168	-36.335	-28.8658	-7.4692	11.6801	4.47347
169	-36.354	-28.7495	-7.6045	11.7679	4.60876
170	-36.6073	-29.0028	-7.6045	11.6135	4.60876
171	-37.2707	-31.3998	-5.87091	11.6135	2.87518
172	-36.3222	-28.9805	-7.34162	11.6135	4.34589
173	-36.9801	-29.6385	-7.34162	11.2803	4.34589
174	-37.4807	-30.1391	-7.34162	11.0447	4.34589
175	-37.4607	-30.1713	-7.28936	11.0447	4.29362
176	-37.5171	-30.6458	-6.87136	11.0297	3.87562
177	-37.7694	-30.038	-7.73137	11.0297	4.73564
178	-37.7694	-30.038	-7.73137	11.0297	4.73564
179	-37.51	-30.1773	-7.33269	11.0297	4.33696
180	-36.4871	-29.402	-7.08512	11.4438	4.08939
181	-36.5922	-29.3268	-7.26548	11.4438	4.26974
182	-35.9828	-28.7173	-7.26548	11.7545	4.26974
183	-35.6619	-29.0037	-6.65816	11.7465	3.66243
184	-37.0431	-30.5507	-6.49237	11.2958	3.49664
185	-38.2538	-31.574	-6.67982	10.8405	3.68409
186	-38.2165	-30.024	-8.19252	11.059	5.19679
187	-36.9258	-30.1153	-6.81046	11.2558	3.81473
188	-37.2482	-30.4378	-6.81046	11.1379	3.81473
189	-37.0312	-30.5776	-6.45354	11.3147	3.45781
190	-36.8423	-30.3887	-6.45354	11.3737	3.45781
191	-36.607	-29.7288	-6.87812	11.3737	3.88239
192	-36.7286	-29.3011	-7.42752	11.441	4.43179
193	-38.5067	-29.7751	-8.73152	11.441	5.73579
194	-38.136	-29.4045	-8.73152	11.7832	5.73579
195	-37.6292	-29.0112	-8.61797	12.0808	5.62223
196	-36.6847	-28.6825	-8.00215	11.9505	5.00642
197	-36.116	-28.1139	-8.00215	12.4277	5.00642
198	-36.116	-28.1139	-8.00215	12.4277	5.00642
199	-35.7785	-27.7763	-8.00215	12.7552	5.00642
200	-33.7942	-27.4041	-6.39011	12.485	3.39437
201	-33.0454	-26.9715	-6.07396	12.7633	3.07823
202	-33.0454	-26.9715	-6.07396	12.7633	3.07823
203	-33.9827	-27.0846	-6.8981	12.6336	3.90237
204	-33.9827	-27.0846	-6.8981	12.6336	3.90237
205	-33.4416	-27.4957	-5.94583	12.6336	2.9501
206	-33.4864	-27.5965	-5.88994	12.6336	2.89421
207	-33.5992	-27.7092	-5.88994	12.5967	2.89421
208	-34.3771	-28.867	-5.51014	12.5967	2.5144
209	-33.3691	-27.8589	-5.51014	12.857	2.5144
210	-33.7679	-28.2578	-5.51014	12.7506	2.5144
211	-33.0296	-27.5195	-5.51014	12.9514	2.5144
212	-33.0197	-27.5052	-5.51454	12.9514	2.5188
213	-33.6437	-28.1292	-5.51454	12.78	2.5188
214	-33.1962	-26.7439	-6.45225	12.78	3.45651
215	-33.1652	-27.399	-5.76617	12.78	2.77043
216	-31.8753	-26.0416	-5.83372	13.2335	2.83799
217	-31.9534	-25.9647	-5.98871	13.2155	2.99298
218	-31.3567	-25.368	-5.98871	13.5104	2.99298
219	-33.0516	-28.0982	-4.95344	13.5104	1.95771
220	-33.3163	-28.4025	-4.91382	13.5104	1.91809
221	-31.407	-25.3635	-6.04346	13.5104	3.04773
222	-31.4447	-25.4013	-6.04346	13.4895	3.04773
223	-32.1307	-26.0873	-6.04346	13.1465	3.04773
224	-31.3897	-25.3463	-6.04346	13.5201	3.04773
225	-32.1407	-26.0136	-6.12703	13.1664	3.1313
226	-31.8809	-25.7539	-6.12703	13.2975	3.1313
227	-31.8809	-25.7539	-6.12703	13.2975	3.1313
228	-31.8809	-25.7539	-6.12703	13.2975	3.1313
229	-33.953	-26.4259	-7.52713	13.7059	4.5314
230	-34.9599	-26.9928	-7.96708	13.7059	4.97135
231	-35.0898	-27.1227	-7.96708	13.5017	4.97135
232	-32.4238	-25.711	-6.71281	13.5017	3.71708
233	-31.2779	-25.6908	-5.5871	13.5017	2.59137
234	-31.2605	-25.6333	-5.62724	13.5017	2.63151
235	-31.6018	-26.2735	-5.32826	13.5017	2.33253
236	-32.1598	-26.8315	-5.32826	13.3292	2.33253
237	-31.4937	-25.1791	-6.31457	13.6837	3.31884
238	-31.0522	-24.7377	-6.31457	14.0561	3.31884
239	-31.0522	-24.7377	-6.31457	14.0561	3.31884
240	-31.185	-24.8704	-6.31457	13.9324	3.31884
241	-31.7467	-26.3956	-5.35109	13.4396	2.35536
242	-31.394	-25.6013	-5.79271	13.4396	2.79698
243	-31.394	-25.6013	-5.79271	13.4396	2.79698
244	-31.8645	-26.0718	-5.79271	13.2391	2.79698
245	-30.8379	-25.0452	-5.79271	13.7114	2.79698
246	-30.8379	-25.0452	-5.79271	13.7114	2.79698
247	-31.7009	-25.9082	-5.79271	13.3064	2.79698
248	-31.1236	-25.3309	-5.79271	13.566	2.79698
249	-31.6403	-25.8476	-5.79271	13.3319	2.79698
250	-30.9353	-25.1426	-5.79271	13.6603	2.79698
251	-32.0673	-27.0442	-5.02315	13.6603	2.02742
252	-32.0673	-27.0442	-5.02315	13.6603	2.02742
253	-31.4058	-25.6319	-5.77392	13.433	2.77818
254	-30.9133	-25.1394	-5.77392	13.6668	2.77818
255	-30.8955	-25.166	-5.7295	13.6668	2.73376
256	-30.1061	-24.3766	-5.7295	14.1284	2.73376
257	-30.7948	-25.0653	-5.7295	13.7175	2.73376
258	-30.1523	-24.8744	-5.27792	14.0932	2.28219
259	-30.1523	-24.8744	-5.27792	14.0932	2.28219
260	-30.0043	-24.7263	-5.27792	14.1669	2.28219
261	-29.3315	-24.0535	-5.27792	14.613	2.28219
262	-29.5645	-24.2866	-5.27792	14.4277	2.28219
263	-29.3483	-24.1177	-5.23062	14.6213	2.23489
264	-30.1374	-24.0631	-6.07424	14.6213	3.0785
265	-29.9771	-23.9029	-6.07424	15.1163	3.0785
266	-29.9771	-23.9029	-6.07424	15.1163	3.0785
267	-29.9769	-23.9027	-6.07424	15.2316	3.0785
268	-29.4183	-23.711	-5.70732	14.8384	2.71158
269	-29.3825	-23.6752	-5.70732	14.9288	2.71158
270	-29.7131	-24.0058	-5.70732	14.4359	2.71158
271	-30.1657	-24.4584	-5.70732	14.0744	2.71158
272	-30.376	-25.07	-5.30603	13.9749	2.3103
