Iteration	Posterior	Likelihood	Prior	mu	sigma
2225	-31.8197	-26.1442	-5.67553	13.2725	2.6798
2226	-31.8197	-26.1442	-5.67553	13.2725	2.6798
2227	-32.5231	-25.9299	-6.59312	13.2725	3.59739
2228	-31.9623	-25.7988	-6.16349	13.2725	3.16776
2229	-33.5531	-28.3245	-5.22866	13.0545	2.23293
2230	-32.3567	-26.589	-5.76767	13.0545	2.77194
2231	-31.6435	-25.8758	-5.76767	13.3309	2.77194
2232	-31.7668	-26.0262	-5.74059	13.2826	2.74485
2233	-32.3087	-25.8464	-6.46225	13.2826	3.46652
2234	-32.2122	-25.75	-6.46225	13.3448	3.46652
2235	-32.0568	-26.7081	-5.34876	13.3448	2.35303
2236	-32.0568	-26.7081	-5.34876	13.3448	2.35303
2237	-29.8616	-24.5128	-5.34876	14.2159	2.35303
2238	-31.6674	-24.9933	-6.67411	14.2015	3.67838
2239	-31.7824	-25.1083	-6.67411	14.0531	3.67838
2240	-30.0359	-24.1944	-5.84154	14.2855	2.84581
2241	-29.5786	-23.7371	-5.84154	14.9486	2.84581
2242	-29.1287	-23.9554	-5.17338	14.9486	2.17765
2243	-29.1249	-23.9515	-5.17338	14.9568	2.17765
2244	-29.1693	-23.6098	-5.55955	15.084	2.56382
2245	-29.1889	-23.6294	-5.55955	14.9906	2.56382
2246	-29.7753	-24.9136	-4.86171	14.9906	1.86598
2247	-29.1844	-23.6095	-5.5749	15.2632	2.57917
2248	-29.1844	-23.6095	-5.5749	15.2632	2.57917
2249	-29.4508	-23.6722	-5.77865	15.2632	2.78292
2250	-30.9704	-24.4449	-6.52556	15.2954	3.52983
2251	-29.0909	-23.9191	-5.17172	15.2954	2.17599
2252	-29.1179	-23.621	-5.49691	15.2954	2.50117
2253	-29.2573	-23.7604	-5.49691	15.61	2.50117
2254	-29.2579	-23.761	-5.49691	15.611	2.50117
2255	-29.5556	-24.0587	-5.49691	15.9253	2.50117
2256	-29.5556	-24.0587	-5.49691	15.9253	2.50117
2257	-29.7579	-24.0204	-5.73751	15.9253	2.74178
2258	-29.7671	-24.0296	-5.73751	15.9344	2.74178
2259	-29.7671	-24.0296	-5.73751	15.9344	2.74178
2260	-29.8448	-24.1073	-5.73751	16.0078	2.74178
2261	-30.1036	-24.3661	-5.73751	16.2157	2.74178
2262	-29.9621	-24.2246	-5.73751	16.1078	2.74178
2263	-29.9155	-24.1766	-5.73893	16.0681	2.7432
2264	-30.5663	-25.8262	-4.74018	15.5843	1.74445
2265	-30.7614	-26.0213	-4.74018	15.7102	1.74445
2266	-31.3114	-26.5447	-4.76675	16.0299	1.77102
2267	-29.6842	-24.32	-5.36414	16.0299	2.3684
2268	-29.6842	-24.32	-5.36414	16.0299	2.3684
2269	-30.1902	-25.1768	-5.01338	16.0299	2.01764
2270	-30.246	-25.2511	-4.99497	16.0299	1.99924
2271	-31.0219	-24.7533	-6.26855	16.3462	3.27282
2272	-30.8044	-24.5358	-6.26855	16.1266	3.27282
2273	-30.4488	-24.1803	-6.26855	15.5535	3.27282
2274	-30.3838	-24.1152	-6.26855	15.234	3.27282
2275	-29.1368	-23.605	-5.53186	15.199	2.53612
2276	-29.1403	-23.6085	-5.53186	15.2466	2.53612
2277	-29.4854	-24.4875	-4.99786	14.819	2.00212
2278	-30.4891	-24.2117	-6.27734	14.741	3.28161
2279	-30.4106	-24.1333	-6.27734	15.0342	3.28161
2280	-29.5524	-24.6313	-4.92116	15.0342	1.92543
2281	-29.1031	-23.6323	-5.47077	15.0342	2.47504
2282	-29.2158	-23.6201	-5.59568	15.0342	2.59995
2283	-29.2099	-23.6142	-5.59568	15.0661	2.59995
2284	-29.832	-24.9928	-4.83917	15.0661	1.84344
2285	-29.3941	-24.4189	-4.97526	15.0661	1.97953
2286	-29.3941	-24.4189	-4.97526	15.0661	1.97953
2287	-29.3496	-24.3517	-4.99789	15.3111	2.00216
2288	-29.8133	-23.8278	-5.98559	15.3111	2.98986
2289	-29.8031	-23.8175	-5.98559	15.1708	2.98986
2290	-29.8186	-23.8331	-5.98559	15.0087	2.98986
2291	-29.8186	-23.8331	-5.98559	15.0087	2.98986
2292	-29.8539	-23.8684	-5.98559	15.4772	2.98986
2293	-29.81	-23.8244	-5.98559	15.0641	2.98986
2294	-29.9358	-23.9502	-5.98559	14.6885	2.98986
2295	-30.0041	-24.0186	-5.98559	14.576	2.98986
2296	-29.1876	-23.8223	-5.36523	14.7603	2.3695
2297	-29.2831	-23.9178	-5.36523	14.6467	2.3695
2298	-29.1322	-23.767	-5.36523	14.8435	2.3695
2299	-29.0813	-23.7161	-5.36523	14.9449	2.3695
2300	-29.1858	-23.8206	-5.36523	15.5886	2.3695
2301	-30.0625	-24.6973	-5.36523	16.2503	2.3695
2302	-30.7818	-25.0941	-5.6877	16.634	2.69197
2303	-29.7201	-24.0324	-5.6877	15.9426	2.69197
2304	-29.7201	-24.0324	-5.6877	15.9426	2.69197
2305	-29.4727	-23.785	-5.6877	15.6548	2.69197
2306	-29.3149	-23.6272	-5.6877	15.1445	2.69197
2307	-30.797	-24.3443	-6.45268	15.1169	3.45694
2308	-30.82	-24.3674	-6.45268	14.9336	3.45694
2309	-30.8428	-24.3901	-6.45268	15.5116	3.45694
2310	-30.7989	-24.3462	-6.45268	15.2654	3.45694
2311	-30.8771	-24.3905	-6.48652	15.2654	3.49079
2312	-29.4255	-23.6624	-5.7631	15.1034	2.76737
2313	-29.4256	-23.6625	-5.7631	15.1025	2.76737
2314	-29.0419	-23.6659	-5.376	15.1025	2.38027
2315	-29.1604	-23.6159	-5.54448	15.3016	2.54875
2316	-29.1678	-23.6233	-5.54448	15.3353	2.54875
2317	-29.152	-23.6075	-5.54448	15.1056	2.54875
2318	-29.1553	-23.6108	-5.54448	15.0794	2.54875
2319	-29.0502	-23.8201	-5.23009	15.0794	2.23436
2320	-29.0519	-23.8258	-5.22612	15.0794	2.23039
2321	-29.0438	-23.8177	-5.22612	15.2102	2.23039
2322	-29.1396	-23.6053	-5.53438	15.2102	2.53865
2323	-29.2057	-23.6713	-5.53438	14.8818	2.53865
2324	-29.2322	-23.6337	-5.59843	15.3707	2.60269
2325	-29.1861	-24.081	-5.10516	15.3707	2.10942
2326	-29.5394	-24.614	-4.92535	15.0353	1.92962
2327	-29.6199	-24.6945	-4.92535	15.4577	1.92962
2328	-29.5281	-24.6058	-4.92227	15.2419	1.92654
2329	-29.7316	-24.8093	-4.92227	15.5699	1.92654
2330	-29.6156	-24.6933	-4.92227	15.439	1.92654
2331	-29.484	-23.7098	-5.77423	15.439	2.7785
2332	-29.4742	-23.6999	-5.77423	14.9428	2.7785
2333	-29.4395	-23.6652	-5.77423	15.2003	2.7785
2334	-30.1037	-23.9676	-6.13613	15.2506	3.1404
2335	-30.1719	-24.0358	-6.13613	15.5499	3.1404
2336	-30.1525	-24.0164	-6.13613	14.8565	3.1404
2337	-29.5877	-23.7598	-5.82786	14.8565	2.83213
2338	-29.5819	-23.754	-5.82786	14.8714	2.83213
2339	-29.6902	-23.7969	-5.89326	14.8714	2.89753
2340	-29.6706	-23.7773	-5.89326	15.4198	2.89753
2341	-29.6706	-23.7773	-5.89326	15.4198	2.89753
2342	-29.6706	-23.7773	-5.89326	15.4198	2.89753
2343	-29.2331	-23.6491	-5.58396	14.9305	2.58823
2344	-29.249	-24.1704	-5.07853	14.9305	2.0828
2345	-29.249	-24.1704	-5.07853	14.9305	2.0828
2346	-29.2402	-24.1617	-5.07853	14.9465	2.0828
2347	-29.06	-23.6416	-5.41841	15.0987	2.42268
2348	-29.0628	-23.6444	-5.41841	15.2713	2.42268
2349	-30.8471	-24.3737	-6.47338	15.2713	3.47765
2350	-30.9329	-24.4596	-6.47338	15.6412	3.47765
2351	-31.0605	-24.5872	-6.47338	15.9005	3.47765
2352	-30.9061	-24.4327	-6.47338	15.5653	3.47765
2353	-29.7931	-23.8605	-5.93256	15.5653	2.93683
2354	-29.525	-24.5308	-4.99419	15.5653	1.99845
2355	-29.3431	-24.3489	-4.99419	15.0942	1.99845
2356	-29.4136	-24.4194	-4.99419	14.9248	1.99845
2357	-30.0944	-23.9771	-6.11723	14.9248	3.1215
2358	-30.0623	-23.945	-6.11723	15.157	3.1215
2359	-29.3404	-24.3485	-4.99192	15.157	1.99619
2360	-29.1626	-24.0709	-5.09171	15.2132	2.09598
2361	-29.1626	-24.0709	-5.09171	15.2132	2.09598
2362	-29.2084	-23.6466	-5.56178	14.9369	2.56605
2363	-29.3134	-24.2747	-5.03866	14.9369	2.04293
2364	-29.2921	-24.2534	-5.03866	14.9776	2.04293
2365	-29.6019	-24.6883	-4.9136	14.9776	1.91787
2366	-29.5839	-24.6703	-4.9136	15.0144	1.91787
2367	-29.6379	-24.7243	-4.9136	15.4319	1.91787
2368	-29.1599	-23.9838	-5.17608	15.4641	2.18035
2369	-29.8584	-23.8571	-6.00133	15.3902	3.0056
2370	-30.2808	-24.0695	-6.21124	15.3902	3.21551
2371	-29.9485	-23.9002	-6.04823	15.3902	3.0525
2372	-29.2838	-24.2604	-5.02346	15.2669	2.02773
2373	-29.3132	-23.9062	-5.40701	15.7294	2.41128
2374	-30.3567	-24.9497	-5.40701	16.4085	2.41128
2375	-30.5197	-25.1127	-5.40701	16.4831	2.41128
2376	-30.5329	-24.7145	-5.81838	16.4531	2.82265
2377	-30.3693	-24.5509	-5.81838	16.3466	2.82265
2378	-30.3059	-24.9962	-5.30974	16.3466	2.31401
2379	-30.3059	-24.9962	-5.30974	16.3466	2.31401
2380	-30.6893	-24.7815	-5.90778	16.4964	2.91204
2381	-30.656	-24.7482	-5.90778	16.4749	2.91204
2382	-30.4792	-24.5714	-5.90778	16.3538	2.91204
2383	-29.7219	-24.2207	-5.50124	16.0521	2.5055
2384	-30.04	-24.1844	-5.85554	16.0521	2.85981
2385	-30.435	-24.5795	-5.85554	16.3649	2.85981
2386	-29.8862	-24.0306	-5.85554	15.8944	2.85981
2387	-30.1339	-24.7512	-5.3827	16.2923	2.38697
2388	-30.0019	-24.6192	-5.3827	16.2228	2.38697
2389	-31.0017	-26.0799	-4.92178	16.2228	1.92605
2390	-30.1426	-25.027	-5.11556	16.1293	2.11983
2391	-30.451	-25.45	-5.00094	16.1293	2.00521
2392	-30.451	-25.45	-5.00094	16.1293	2.00521
2393	-29.9954	-24.7976	-5.19775	16.1293	2.20202
2394	-30.6433	-25.1593	-5.48403	16.5596	2.4883
2395	-29.4646	-23.9805	-5.48403	15.8507	2.4883
2396	-29.8785	-24.8745	-5.00401	15.8507	2.00827
2397	-30.3449	-24.202	-6.14284	15.8507	3.14711
2398	-29.4535	-23.7265	-5.727	15.5309	2.73127
2399	-30.2284	-25.4385	-4.78994	15.5309	1.79421
2400	-29.0699	-23.6274	-5.44249	15.2193	2.44676
2401	-29.0586	-23.6363	-5.42235	15.2193	2.42661
2402	-29.0577	-23.6354	-5.42235	15.1459	2.42661
2403	-29.2347	-23.6102	-5.62449	15.1459	2.62876
2404	-29.2689	-23.6444	-5.62449	15.3951	2.62876
2405	-31.3244	-24.7117	-6.61276	15.8107	3.61703
2406	-29.4231	-23.9371	-5.48603	15.8107	2.49029
2407	-29.5736	-23.9028	-5.67077	15.8107	2.67504
2408	-29.3087	-23.6379	-5.67077	15.3311	2.67504
2409	-29.9536	-23.8945	-6.05905	15.3017	3.06332
2410	-30.015	-23.9251	-6.0899	15.3017	3.09417
2411	-29.107	-23.9453	-5.16172	15.0282	2.16599
2412	-29.1587	-23.997	-5.16172	14.9106	2.16599
2413	-30.0555	-23.9428	-6.11267	15.2484	3.11694
2414	-29.2953	-24.2744	-5.02087	15.0591	2.02514
2415	-29.4084	-24.4381	-4.97029	15.0591	1.97456
2416	-29.6147	-24.6444	-4.97029	14.758	1.97456
2417	-29.6147	-24.6444	-4.97029	14.758	1.97456
2418	-30.2514	-24.2019	-6.0495	14.3968	3.05377
2419	-30.5774	-24.5279	-6.0495	14.0736	3.05377
2420	-30.1481	-24.0986	-6.0495	14.5324	3.05377
2421	-29.6117	-24.3366	-5.27511	14.3968	2.27938
2422	-29.6428	-24.4067	-5.23604	14.3968	2.24031
2423	-29.1414	-23.7921	-5.34933	14.8243	2.3536
2424	-29.2513	-23.6168	-5.63447	15.0898	2.63874
2425	-29.3381	-23.7036	-5.63447	14.8176	2.63874
2426	-30.4926	-24.2005	-6.29202	14.8176	3.29629
2427	-32.5371	-25.381	-7.15616	14.8176	4.16043
2428	-31.5673	-24.808	-6.75922	14.8176	3.76349
2429	-31.5673	-24.808	-6.75922	14.8176	3.76349
2430	-33.2524	-25.7957	-7.45674	15.2489	4.46101
2431	-29.2315	-23.6125	-5.61903	15.2489	2.6233
2432	-29.3848	-23.7658	-5.61903	15.6407	2.6233
2433	-29.3848	-23.7658	-5.61903	15.6407	2.6233
2434	-29.4339	-23.8149	-5.61903	15.7085	2.6233
2435	-29.6526	-23.8576	-5.79505	15.7085	2.79932
2436	-29.5224	-23.7273	-5.79505	14.8931	2.79932
2437	-29.5981	-23.803	-5.79505	14.7301	2.79932
2438	-29.2001	-24.1185	-5.08154	15.0289	2.0858
2439	-29.3096	-23.7801	-5.52953	14.7011	2.53379
2440	-29.3096	-23.7801	-5.52953	14.7011	2.53379
2441	-30.0155	-23.9536	-6.06187	14.8265	3.06614
2442	-29.959	-23.8971	-6.06187	15.3006	3.06614
2443	-29.9795	-23.9176	-6.06187	15.4083	3.06614
2444	-29.4151	-23.7489	-5.66627	15.6049	2.67053
2445	-29.3355	-23.6693	-5.66627	15.4417	2.67053
2446	-29.3313	-23.6651	-5.66627	15.4302	2.67053
2447	-29.0949	-23.6311	-5.46382	15.3012	2.46809
2448	-29.0659	-23.7034	-5.36246	15.367	2.36673
2449	-29.1504	-23.7879	-5.36246	14.8132	2.36673
2450	-29.1781	-23.8157	-5.36246	14.7727	2.36673
2451	-29.5944	-23.8211	-5.77329	14.6837	2.77756
2452	-29.5944	-23.8211	-5.77329	14.6837	2.77756
2453	-29.8896	-23.9763	-5.91329	14.5647	2.91756
2454	-30.3395	-24.3001	-6.03935	14.2798	3.04362
2455	-30.3395	-24.3001	-6.03935	14.2798	3.04362
2456	-31.2798	-24.6965	-6.58326	14.4961	3.58753
2457	-31.5666	-24.8582	-6.70836	14.4961	3.71263
2458	-29.4066	-23.7473	-5.65923	14.7466	2.6635
2459	-29.6285	-23.9693	-5.65923	14.4692	2.6635
2460	-30.1893	-24.1101	-6.07919	14.5525	3.08346
2461	-29.9937	-23.9145	-6.07919	15.048	3.08346
2462	-29.9937	-23.9145	-6.07919	15.048	3.08346
2463	-29.9913	-23.9121	-6.07919	15.2839	3.08346
2464	-29.3293	-23.6755	-5.6538	15.4653	2.65807
2465	-29.2703	-23.6165	-5.6538	15.196	2.65807
2466	-29.3098	-23.656	-5.6538	15.4127	2.65807
2467	-29.3081	-23.6543	-5.6538	14.9435	2.65807
2468	-29.3678	-23.714	-5.6538	14.8037	2.65807
2469	-29.3561	-23.6555	-5.70052	14.9866	2.70479
2470	-29.3351	-23.6345	-5.70052	15.1049	2.70479
2471	-30.293	-24.0663	-6.2267	15.1214	3.23097
2472	-29.1112	-23.9752	-5.13601	15.1214	2.14028
2473	-30.0773	-23.9534	-6.12395	15.1214	3.12821
2474	-30.076	-23.952	-6.12395	15.1594	3.12821
2475	-30.4168	-24.1325	-6.28428	15.1957	3.28855
2476	-29.4445	-23.6765	-5.76795	15.0237	2.77221
2477	-29.4445	-23.6765	-5.76795	15.0237	2.77221
2478	-29.4295	-23.6616	-5.76795	15.1865	2.77221
2479	-31.5543	-24.7818	-6.77252	15.1865	3.77679
2480	-29.0824	-23.6181	-5.46428	15.1865	2.46855
2481	-30.092	-23.9912	-6.10085	14.8264	3.10512
2482	-30.056	-23.9552	-6.10085	15.4048	3.10512
2483	-29.1712	-24.0328	-5.13844	14.93	2.14271
2484	-29.1737	-24.0353	-5.13844	15.4258	2.14271
2485	-29.3141	-24.3103	-5.00371	15.1755	2.00798
2486	-29.4605	-24.4568	-5.00371	14.8319	2.00798
2487	-29.3594	-24.0643	-5.29509	14.5817	2.29936
2488	-29.3594	-24.0643	-5.29509	14.5817	2.29936
2489	-30.4773	-24.1991	-6.27822	14.7762	3.28249
2490	-29.0519	-23.7604	-5.29151	15.0107	2.29578
2491	-30.0023	-23.9217	-6.08062	15.0107	3.08489
2492	-30.2941	-24.2134	-6.08062	14.4124	3.08489
2493	-29.7927	-24.3606	-5.43215	14.2444	2.43641
2494	-29.7927	-24.3606	-5.43215	14.2444	2.43641
2495	-30.159	-24.2604	-5.89863	14.2444	2.9029
2496	-31.0942	-24.6724	-6.42185	14.2444	3.42612
2497	-31.0258	-24.604	-6.42185	14.335	3.42612
2498	-30.4395	-24.3141	-6.12539	14.335	3.12966
2499	-29.7088	-24.3742	-5.33456	14.3123	2.33883
2500	-31.5599	-24.829	-6.73088	14.6305	3.73515
2501	-30.7584	-24.4057	-6.35274	14.5212	3.357
2502	-29.6835	-23.8602	-5.82338	14.6594	2.82765
2503	-29.0879	-23.6718	-5.41612	14.9758	2.42039
2504	-29.0858	-23.6697	-5.41612	15.3691	2.42039
2505	-29.0773	-23.8445	-5.23275	15.3691	2.23702
2506	-29.1429	-23.9101	-5.23275	15.4967	2.23702
2507	-29.4192	-24.1865	-5.23275	15.7918	2.23702
2508	-29.3785	-24.0631	-5.3154	15.7918	2.31966
2509	-29.6863	-23.9111	-5.77518	15.7918	2.77945
2510	-29.4647	-23.6895	-5.77518	15.3689	2.77945
2511	-29.2277	-23.8613	-5.36641	15.6419	2.37067
2512	-29.7894	-24.4229	-5.36641	16.0969	2.37067
2513	-30.8071	-25.4406	-5.36641	16.5872	2.37067
2514	-30.6867	-24.8272	-5.85958	16.5248	2.86384
2515	-30.9228	-25.0632	-5.85958	16.6613	2.86384
2516	-31.1295	-25.0637	-6.06585	16.6613	3.07012
2517	-31.1293	-25.0636	-6.06568	16.6613	3.06995
2518	-31.7725	-25.2899	-6.48262	16.6613	3.48689
2519	-31.4096	-24.927	-6.48262	16.3267	3.48689
2520	-31.6891	-25.2064	-6.48262	16.5914	3.48689
2521	-31.3084	-24.8258	-6.48262	16.2143	3.48689
2522	-31.1911	-24.7085	-6.48262	16.0665	3.48689
2523	-31.0048	-24.5222	-6.48262	15.7593	3.48689
2524	-30.9253	-24.5475	-6.3778	16.0047	3.38207
2525	-29.9248	-24.8242	-5.10066	16.0047	2.10493
2526	-29.5562	-24.4556	-5.10066	15.7762	2.10493
2527	-29.4084	-23.8891	-5.51927	15.7762	2.52354
2528	-29.4084	-23.8891	-5.51927	15.7762	2.52354
2529	-29.595	-23.8806	-5.71436	15.7762	2.71862
2530	-29.4347	-24.2422	-5.19247	15.7762	2.19674
2531	-29.968	-24.7755	-5.19247	16.1113	2.19674
2532	-30.3311	-25.1386	-5.19247	16.2828	2.19674
2533	-29.566	-24.3735	-5.19247	15.8738	2.19674
2534	-29.8478	-24.8377	-5.01008	15.8419	2.01435
2535	-29.3591	-24.349	-5.01008	15.3934	2.01435
2536	-29.4565	-24.4464	-5.01008	15.5312	2.01435
2537	-29.3948	-23.9139	-5.48095	15.785	2.48522
2538	-29.2408	-23.7599	-5.48095	15.6012	2.48522
2539	-29.2176	-23.9789	-5.23875	15.6012	2.24302
2540	-29.3411	-24.1694	-5.17165	15.6768	2.17592
2541	-29.3903	-23.791	-5.5993	15.6768	2.60357
2542	-29.2135	-23.6142	-5.5993	15.2825	2.60357
2543	-30.1668	-25.4024	-4.76439	15.1124	1.76865
2544	-30.5207	-25.7563	-4.76439	15.6504	1.76865
2545	-30.6405	-25.8762	-4.76439	15.7237	1.76865
2546	-30.6405	-25.8762	-4.76439	15.7237	1.76865
2547	-30.2408	-25.4764	-4.76439	14.9513	1.76865
2548	-29.553	-23.7268	-5.82629	14.9513	2.83056
2549	-29.4238	-24.4489	-4.97495	15.3617	1.97921
2550	-29.8707	-24.8957	-4.97495	14.5553	1.97921
2551	-30.2348	-25.2598	-4.97495	14.3571	1.97921
2552	-29.8948	-24.103	-5.79177	14.3571	2.79604
2553	-29.964	-24.9283	-5.03577	14.4049	2.04003
2554	-30.0872	-25.0514	-5.03577	14.341	2.04003
2555	-30.4662	-25.3713	-5.09486	14.1014	2.09913
2556	-30.237	-25.1422	-5.09486	14.1999	2.09913
2557	-30.1362	-24.9946	-5.14157	14.1999	2.14584
2558	-30.9272	-24.4889	-6.43829	14.5508	3.44256
2559	-29.8195	-23.957	-5.86251	14.5508	2.86678
2560	-30.1582	-24.2957	-5.86251	14.2025	2.86678
2561	-30.9709	-24.6166	-6.35431	14.2269	3.35858
2562	-31.0611	-24.7068	-6.35431	14.1251	3.35858
2563	-31.9799	-25.325	-6.65494	13.7976	3.65921
2564	-32.385	-25.7301	-6.65494	13.4483	3.65921
2565	-33.226	-26.1357	-7.09028	13.4483	4.09455
2566	-33.6368	-26.5466	-7.09028	13.0872	4.09455
2567	-33.589	-26.4987	-7.09028	13.1261	4.09455
2568	-33.3406	-26.2503	-7.09028	13.3404	4.09455
2569	-34.0599	-26.6208	-7.43915	13.3404	4.44342
2570	-33.7546	-26.3155	-7.43915	13.7051	4.44342
2571	-33.9545	-26.5154	-7.43915	13.4576	4.44342
2572	-34.0865	-26.5026	-7.58388	13.6995	4.58815
2573	-32.3515	-25.5874	-6.7641	13.6517	3.76836
2574	-32.3594	-25.5016	-6.85778	13.8408	3.86205
2575	-30.5403	-24.8601	-5.68016	13.8408	2.68443
2576	-30.5403	-24.8601	-5.68016	13.8408	2.68443
2577	-30.5403	-24.8601	-5.68016	13.8408	2.68443
2578	-30.6035	-24.8147	-5.78881	13.8408	2.79308
2579	-30.6525	-25.3151	-5.33737	13.8408	2.34163
2580	-30.2673	-24.3889	-5.87844	14.1298	2.88271
2581	-30.0204	-24.1419	-5.87844	14.349	2.88271
2582	-30.0856	-24.9859	-5.09972	14.2656	2.10399
2583	-30.6746	-25.446	-5.22854	13.8996	2.23281
2584	-30.6746	-25.446	-5.22854	13.8996	2.23281
2585	-30.6601	-25.4315	-5.22854	13.9053	2.23281
2586	-29.6456	-24.4171	-5.22854	14.3995	2.23281
2587	-29.659	-24.4436	-5.21533	14.3995	2.2196
2588	-30.4069	-25.1915	-5.21533	14.0184	2.2196
2589	-31.1689	-25.5762	-5.59261	13.545	2.59688
2590	-30.3506	-24.758	-5.59261	13.9286	2.59688
2591	-31.4297	-25.8371	-5.59261	13.4405	2.59688
2592	-31.9184	-25.5558	-6.36257	13.4405	3.36683
2593	-31.5001	-25.9918	-5.50834	13.4405	2.51261
2594	-31.5001	-25.9918	-5.50834	13.4405	2.51261
2595	-32.7853	-27.277	-5.50834	13.0231	2.51261
2596	-32.6305	-26.2715	-6.35899	13.0231	3.36325
2597	-32.6305	-26.2715	-6.35899	13.0231	3.36325
2598	-31.5146	-25.7785	-5.73613	13.3859	2.7404
2599	-31.5357	-25.8797	-5.65596	13.3859	2.66023
2600	-31.3672	-25.7112	-5.65596	13.4538	2.66023
2601	-30.5991	-24.9431	-5.65596	13.8055	2.66023
2602	-29.8128	-24.1568	-5.65596	14.3013	2.66023
2603	-29.4517	-23.7957	-5.65596	14.6723	2.66023
2604	-30.1939	-24.0758	-6.11819	14.6723	3.12245
2605	-29.2666	-23.8622	-5.4044	14.6723	2.40866
2606	-29.0922	-23.721	-5.37121	14.9231	2.37548
2607	-29.1273	-23.676	-5.45137	14.9214	2.45564
2608	-29.0758	-23.6244	-5.45137	15.2244	2.45564
2609	-29.1812	-23.7298	-5.45137	14.8157	2.45564
2610	-30.4887	-24.2163	-6.27239	14.7165	3.27666
2611	-29.238	-23.9811	-5.25691	14.7165	2.26118
2612	-29.2805	-24.0235	-5.25691	14.6714	2.26118
2613	-29.3427	-24.0858	-5.25691	14.6118	2.26118
2614	-29.14	-24.0071	-5.13297	15.0133	2.13723
2615	-29.1555	-24.0225	-5.13297	15.3767	2.13723
2616	-29.4537	-24.4877	-4.96603	15.3767	1.9703
2617	-29.4184	-24.4523	-4.96603	15.0616	1.9703
2618	-29.4184	-24.4523	-4.96603	15.0616	1.9703
2619	-29.1306	-23.6169	-5.51375	15.0616	2.51801
2620	-29.1306	-23.6169	-5.51375	15.0616	2.51801
2621	-29.085	-23.9075	-5.17745	15.0616	2.18172
2622	-29.0398	-23.7603	-5.2795	15.0616	2.28377
2623	-29.0636	-23.8532	-5.21034	15.0616	2.21461
2624	-29.1441	-23.6149	-5.52918	15.0616	2.53344
2625	-29.3095	-23.6901	-5.61947	14.8408	2.62373
2626	-29.4698	-23.8504	-5.61947	14.5987	2.62373
2627	-29.4325	-23.8532	-5.57931	14.5987	2.58358
2628	-29.2024	-23.6231	-5.57931	15.0157	2.58358
2629	-29.4144	-24.4403	-4.97406	15.0157	1.97833
2630	-29.8079	-23.8274	-5.98056	15.0157	2.98483
2631	-29.8363	-23.8557	-5.98056	15.4514	2.98483
2632	-29.9227	-23.9422	-5.98056	15.6552	2.98483
2633	-29.2563	-23.8236	-5.43272	15.6552	2.43699
2634	-29.1898	-23.7571	-5.43272	15.5643	2.43699
2635	-29.1255	-23.6927	-5.43272	15.4488	2.43699
2636	-29.3029	-23.8145	-5.4884	15.678	2.49267
2637	-30.9903	-24.4981	-6.49228	15.678	3.49655
2638	-29.5781	-23.8213	-5.75676	15.678	2.76103
2639	-29.6021	-23.8453	-5.75676	15.7131	2.76103
2640	-29.6468	-23.8072	-5.83959	15.5843	2.84385
2641	-29.751	-23.9114	-5.83959	15.7548	2.84385
2642	-29.5606	-23.721	-5.83959	15.3415	2.84385
2643	-29.7162	-23.8767	-5.83959	15.7041	2.84385
2644	-29.8161	-23.9765	-5.83959	15.8395	2.84385
2645	-29.6911	-23.8515	-5.83959	15.6641	2.84385
2646	-29.5657	-23.7262	-5.83959	15.3651	2.84385
2647	-29.577	-23.7374	-5.83959	14.9429	2.84385
2648	-30.1588	-25.3774	-4.7814	14.9429	1.78567
2649	-30.9927	-26.3487	-4.64402	15.3668	1.64829
2650	-30.9927	-26.3487	-4.64402	15.3668	1.64829
2651	-29.1127	-23.7087	-5.40396	15.4493	2.40823
2652	-29.1275	-23.6913	-5.43627	15.4493	2.44054
2653	-29.1876	-23.9418	-5.2458	15.5686	2.25007
2654	-29.6897	-24.7545	-4.93517	15.5686	1.93944
2655	-29.1277	-23.6297	-5.49799	15.3352	2.50226
2656	-29.2399	-23.7419	-5.49799	15.5831	2.50226
2657	-29.3379	-23.8399	-5.49799	15.713	2.50226
2658	-29.3069	-23.9972	-5.30973	15.7245	2.31399
2659	-29.0663	-23.7566	-5.30973	15.3846	2.31399
2660	-32.4985	-25.3481	-7.15044	15.3846	4.15471
2661	-31.2688	-24.615	-6.65378	15.2194	3.65805
2662	-31.2694	-24.6156	-6.65378	15.1164	3.65805
2663	-31.3194	-24.6656	-6.65378	15.546	3.65805
2664	-30.6175	-24.2701	-6.34738	15.546	3.35165
2665	-30.7131	-24.3657	-6.34738	15.7689	3.35165
2666	-30.8959	-24.5485	-6.34738	16.049	3.35165
2667	-31.3134	-24.7682	-6.54519	16.049	3.54945
2668	-31.1915	-24.6463	-6.54519	15.8505	3.54945
2669	-31.566	-25.0208	-6.54519	16.3585	3.54945
2670	-31.2048	-24.6596	-6.54519	15.875	3.54945
2671	-29.4779	-23.8125	-5.66541	15.7003	2.66968
2672	-29.9658	-24.3004	-5.66541	16.1609	2.66968
2673	-29.6657	-24.5582	-5.10755	15.8602	2.11182
2674	-29.7658	-24.6583	-5.10755	15.9225	2.11182
2675	-29.8494	-24.7419	-5.10755	15.9709	2.11182
2676	-30.6227	-25.5162	-5.10644	16.3243	2.11071
2677	-29.7427	-24.6363	-5.10644	15.9074	2.11071
2678	-29.4129	-24.2623	-5.15059	15.72	2.15486
