"parameter" "ESS" "mean" "high_hpd" "low_hpd"
"t_n142" 3316.85232994878 6.29714974883618 6.9762049 5.7666074
"t_n143" 3171.61438704975 6.2004695962391 6.8358503 5.6871819
"t_n144" 4397.56983181755 4.24459805393034 6.2027164 2.1784566
"t_n145" 2996.12027318554 5.66426079870563 6.1423658 5.2421482
"t_n146" 7883.47539700019 5.31809207194045 5.7950039 4.5586118
"t_n147" 3506.07844694446 2.49375447449586 4.1167123 1.1246518
"t_n148" 2535.32793204643 1.24986471032165 2.3666993 0.4606538
"t_n149" 2991.42899765229 5.55198550327204 6.0044932 5.147555
"t_n150" 3291.55447269669 4.61500294307538 5.4270272 3.3348256
"t_n151" 3134.96167319073 5.46223431492139 5.8788125 5.0871134
"t_n152" 3365.00978177254 5.20347244748625 5.5788978 4.8704653
"t_n153" 5487.69184976865 4.79832510139992 5.272262 4.2390343
"t_n154" 2321.13217318763 2.83773794005333 3.4998797 2.2160625
"t_n155" 2027.55863780211 2.5615817677629 3.1761068 1.9600629
"t_n156" 2311.82512010913 1.98807465754125 2.6570092 1.3209271
"t_n157" 2608.46688422643 1.88963084639187 2.5367253 1.2277106
"t_n158" 3669.86621050709 5.10047870157213 5.4509451 4.7829417
"t_n159" 6173.49544601964 3.72121337504028 4.5365251 2.6018301
"t_n160" 5050.24204230862 4.83452281816566 5.1349674 4.5573393
"t_n161" 3688.54798988551 2.24106585136937 3.4561202 1.1795018
"t_n162" 8113.93768815766 4.58327933427587 4.8010456 4.3456622
"t_n163" 2874.20622548276 3.12797761547692 4.224562 2.0292508
"t_n164" 2693.50576825013 2.60027357831787 3.8176788 1.5687802
"t_n165" 9150.25234064676 4.40912593537581 4.5121175 4.2013434
"t_n166" 10108.0416908933 4.06674194226987 4.3445269 3.632393
"t_n167" 10436.7715493814 2.31850172844286 2.8330767 2.0138103
"t_n168" 5078.13863906947 1.25683332803178 1.9300694 0.8200635
"t_n169" 3649.45268043106 2.30106547195156 2.9866288 1.6577982
"t_n170" 2748.77831353447 1.48554726241875 2.1186466 0.9783974
"t_n171" 3085.07613845797 1.09500666615744 1.7002037 0.6607483
"t_n172" 6666.23030707518 4.24328999976668 4.3970995 4.0288173
"t_n173" 4807.80611390727 3.85367893537581 4.1989905 3.3073639
"t_n174" 4589.79178015014 3.3088026543192 3.808821 2.6040082
"t_n175" 3963.46609688981 1.39778905029721 2.1996206 0.7720685
"t_n176" 1272.21529804964 3.22013522642631 3.7308903 2.7984276
"t_n177" 3199.69646606266 2.1422275993667 2.8842407 1.5863697
"t_n178" 3682.14314814928 1.76535289037831 2.5756524 1.0749629
"t_n179" 1164.49282432928 3.13806861893784 3.6281556 2.7426632
"t_n180" 1384.52812457843 2.88385702672629 3.4131631 2.4220622
"t_n181" 1867.84277386921 2.56112777367924 3.1079377 1.9674645
"t_n182" 2694.94962188362 2.10002800666074 2.7098653 1.5280063
"t_n183" 3686.0582433178 1.16352916302983 1.7652259 0.6888206
"t_n184" 1045.40224117588 3.05625481784345 3.5416792 2.6614938
"t_n185" 1473.28598156811 2.7560352592856 3.2448265 2.3202218
"t_n186" 2425.94540143261 2.34683391826565 2.8798175 1.7891386
"t_n187" 3962.32004284021 0.903483085556358 1.4669073 0.4939307
