"parameter" "ESS" "mean" "high_hpd" "low_hpd"
"t_n142" 2235.75917548293 6.18661393850897 6.8625734 5.7065772
"t_n143" 2459.92695243162 6.09395717245153 6.7262291 5.6227953
"t_n144" 3938.5880136197 4.15882827952892 6.0880032 1.9436797
"t_n145" 2644.04039229248 5.81090800814399 6.3545527 5.3677498
"t_n146" 12520.9321702953 5.34244547566246 5.8152358 4.4928219
"t_n147" 7376.61280826533 2.80392231642687 4.2372982 1.6853843
"t_n148" 5777.70960950036 1.86383497272929 3.0275471 0.9280558
"t_n149" 2751.36551783829 5.66559488019554 6.1763986 5.2298258
"t_n150" 2441.16441742165 4.91529394309761 5.7614636 3.1918004
"t_n151" 2862.22437900921 5.4509833033887 5.9306475 5.0315714
"t_n152" 3048.68472920015 5.38074270122771 5.8477946 4.9660657
"t_n153" 7081.05890134597 4.59383555815788 5.2457966 4.097128
"t_n154" 2650.87527341308 2.54872830772179 3.4634441 1.759175
"t_n155" 2318.90020385309 2.01072477997889 2.7687983 1.3204222
"t_n156" 2663.85997132565 1.52996664776401 2.3349343 0.8132831
"t_n157" 2762.37849590684 1.72815668911727 2.5287976 1.0078295
"t_n158" 3635.29660280456 5.13772015168046 5.5967495 4.7475798
"t_n159" 3511.1154811794 3.35744805183045 4.4845092 1.7223991
"t_n160" 4783.97186758688 4.84162640904394 5.2416237 4.501829
"t_n161" 3575.87646244053 1.68947623079273 3.0263116 0.6293581
"t_n162" 8228.08433891695 4.49966392204322 4.7293384 4.2443432
"t_n163" 2311.74667145826 2.42990639271707 4.056984 1.2419661
"t_n164" 2048.13091125842 1.85473726514638 3.2545669 0.779246
"t_n165" 6740.30242541474 4.39339434274207 4.5104862 4.1643258
"t_n166" 6756.93146645803 3.99669289134493 4.3809853 3.3254658
"t_n167" 5243.02415311383 2.58256305175824 3.4528148 2.1163872
"t_n168" 2402.28067136696 1.84433756515194 2.8685493 1.0141226
"t_n169" 3805.93112290448 2.2102500354147 3.0470261 1.369129
"t_n170" 2988.72042270718 1.48429470058886 2.3132897 0.7431956
"t_n171" 2879.5986347481 1.07728575558025 1.8796351 0.440742
"t_n172" 4242.31265296189 4.24204225211377 4.4222631 3.9848258
"t_n173" 3103.67559010711 3.81370990485529 4.276937 3.0223208
"t_n174" 2193.09607977722 3.56305257555691 4.1873835 2.6594215
"t_n175" 2838.66436093608 1.33996371466585 2.4300685 0.5132469
"t_n176" 2905.06645084613 3.22993783555358 3.9790888 2.5538253
"t_n177" 2892.51405095734 2.18591051399367 3.1158623 1.5715191
"t_n178" 4023.92885223331 1.8399110295928 2.7381425 1.101784
"t_n179" 1579.70875582508 2.75010889508361 3.3918582 2.2340257
"t_n180" 2430.81272827563 2.19225235911894 2.8678073 1.4715276
"t_n181" 2962.96847078337 1.75809303475918 2.580188 0.9217629
"t_n182" 2530.51001060753 1.44940477191267 2.2073713 0.7296835
"t_n183" 2754.70450417204 0.928041959791123 1.7165751 0.336256
"t_n184" 1483.97859712528 2.59201580642187 3.1425512 2.0954769
"t_n185" 1597.47050528397 2.2949908107994 2.8451814 1.7988005
"t_n186" 2588.32877830743 1.91536672221543 2.5755114 1.2290632
"t_n187" 3445.56123712245 0.598665152035998 1.3026749 0.1828047
"t_n188" 1809.89306064302 1.935141257969 2.4921701 1.4566583
"t_n189" 5384.2954232838 0.983831885256375 1.3895238 0.6064558
"t_n190" 2818.00943788313 1.56159774451419 2.1791061 1.0168975
"t_n191" 3136.79181361164 0.451751267646242 0.9474016 0.1286208
"t_n192" 2108.25155951523 2.06947348198433 2.6770355 1.4942039
"t_n193" 1228.29730227689 0.65273834803622 1.5893485 0.1728553
"t_n194" 1103.58260546436 0.495095621537692 1.3249589 0.0920378
