"parameter" "ESS" "mean" "high_hpd" "low_hpd"
"t_n142" 3217.48747127804 6.29070364338092 6.9750878 5.7685027
"t_n143" 3078.50663619139 6.19438221666574 6.8253489 5.689134
"t_n144" 3423.23767537499 4.09488251819899 6.0758538 1.8230055
"t_n145" 3003.35561636586 5.88454702892062 6.432657 5.4261712
"t_n146" 13828.3041714576 5.27275760581634 5.8064046 4.4148568
"t_n147" 7561.88985728466 3.09912536242431 4.4560318 1.8867208
"t_n148" 4402.90149548333 1.85663276946281 2.929264 0.9242291
"t_n149" 2869.34638504933 5.65289174370868 6.1585902 5.2216664
"t_n150" 3598.14179691157 4.90588562628743 5.7353318 3.3326576
"t_n151" 3191.39165188779 5.48962696171324 5.9854527 5.0611676
"t_n152" 2890.35650287754 5.31475515630243 5.7634229 4.9228703
"t_n153" 5755.4821931196 4.80530671382145 5.398795 4.1626575
"t_n154" 1981.1396205034 2.8236925038609 3.7060305 2.0846167
"t_n155" 1672.95845736803 2.43113919148381 3.1986658 1.7267553
"t_n156" 1786.5691794412 1.98512058873951 2.767167 1.2271682
"t_n157" 1900.20997384263 1.56679169208377 2.3414056 0.8790608
"t_n158" 2846.85978573117 5.15196934127548 5.5806903 4.7844474
"t_n159" 4776.13299387363 3.74650928514527 4.5941172 2.3575402
"t_n160" 3728.50272593051 4.79923918648408 5.1465582 4.4971699
"t_n161" 2515.62453936139 2.0718393898339 3.4111502 0.9743598
"t_n162" 7531.97515246434 4.53840674371424 4.7683007 4.291567
"t_n163" 1471.21305300878 2.42343234090328 3.9257691 1.3060075
"t_n164" 1218.59939610917 2.01708745554691 3.450989 0.9574309
"t_n165" 7266.86182644389 4.40427990660519 4.5126119 4.1849742
"t_n166" 8314.67949933025 4.09617898171213 4.4079873 3.5323323
"t_n167" 7874.47187773875 2.36020623040942 2.9685016 2.0251394
"t_n168" 3509.05943163836 1.25450870076662 2.0674269 0.7343663
"t_n169" 3022.04093370031 2.3780724409255 3.1900197 1.5972465
"t_n170" 2536.70048337295 1.69333639003389 2.4624133 1.0347706
"t_n171" 2499.71776055009 1.09674832995945 1.8337295 0.5801053
"t_n172" 4712.39154146214 4.2175505964002 4.3873647 3.984418
"t_n173" 3701.53533467493 3.71289540524415 4.1805582 3.1096228
"t_n174" 4363.24628719737 3.4776068498639 4.0675408 2.7233408
"t_n175" 2423.06416450894 1.29471704610299 2.2271674 0.6210584
"t_n176" 1524.25107676348 3.21556669062274 3.7858765 2.6953618
"t_n177" 2492.70575986843 2.12232687509583 2.9533277 1.5670075
"t_n178" 2669.32570732439 1.7457366416088 2.6097586 1.006402
"t_n179" 1179.32961061315 2.97540340446642 3.5260555 2.512987
"t_n180" 1817.25972321744 2.63355276419088 3.2246581 2.0658775
"t_n181" 2581.82631852981 2.11276163322593 2.8159217 1.2791547
"t_n182" 2591.93050452901 1.90419380451642 2.5594218 1.2661958
"t_n183" 2666.55440709775 1.18987292859286 1.884671 0.6326269
"t_n184" 1152.13993879001 2.74069292845397 3.2620046 2.3080827
"t_n185" 1277.45418897538 2.49374140034443 3.0183571 2.0403483
"t_n186" 2355.73819821644 1.98880396644075 2.6166551 1.3202614
"t_n187" 2811.83800757536 0.815853696794622 1.507556 0.331241
"t_n188" 1573.40041609274 2.11217173288151 2.6605562 1.6345063
"t_n189" 4613.17552102179 1.04784401301039 1.5422977 0.7044077
"t_n190" 2395.56098352847 1.66281797614021 2.2651058 1.1092932
"t_n191" 2899.42006665222 0.693695401866563 1.1996919 0.2640849
"t_n192" 1564.06514561087 2.22967781316594 2.7202623 1.7738091
"t_n193" 2833.93574981551 1.20451799176712 1.8567246 0.6635157
"t_n194" 2116.71961940037 0.626126432975946 1.1288113 0.2097998
"t_n195" 1509.86728267322 1.89790849055608 2.3672821 1.4751605
"t_n196" 1269.74177699759 1.66777969662241 2.1102956 1.2670863
"t_n197" 1302.88208874557 1.58413855254708 2.0185104 1.1852735
"t_n198" 1932.31374212964 1.18876636084106 1.5107295 0.8324038
"t_n199" 2123.20640058209 1.06033796644631 1.4307669 0.6632398
"t_n200" 4015.31830733416 4.12451784148103 4.3102966 3.8855877
"t_n201" 4485.31960010214 3.85158380148325 4.169342 3.4316326
"t_n202" 2859.42845087329 2.29291128666741 3.3187238 1.3838223
"t_n203" 2679.89236726614 0.885521143592023 1.6848474 0.3856344
"t_n204" 2776.83688944798 3.49526743707016 3.900477 2.9936193
"t_n205" 3064.9384558063 3.00743497842898 3.4796623 2.5126117
"t_n206" 2426.29910123933 1.25940764430309 2.0507204 0.6522445
"t_n207" 2891.51363366342 2.69721731412144 3.0914153 2.1741166
"t_n208" 2332.28024358993 2.21027217679573 2.7139573 1.647173
"t_n209" 2057.23889159548 0.99948898031776 1.511138 0.6027419
"t_n210" 2327.88466131241 0.705813875695795 1.1620537 0.33726
