"parameter" "ESS" "mean" "high_hpd" "low_hpd"
"t_n142" 1657.77526306016 6.06079663773124 6.7016343 5.6064882
"t_n143" 1527.7824832253 5.96955364529748 6.5687228 5.5189404
"t_n144" 2887.39915326814 4.02740168959502 5.8222824 1.8820532
"t_n145" 1707.243614383 5.65962476008555 6.1878205 5.2406348
"t_n146" 8729.7981568667 4.97250582099883 5.674064 4.2490527
"t_n147" 5160.46052557144 2.86839522102105 4.649937 1.5967171
"t_n148" 3980.52909819394 1.94830515302483 3.4659816 0.896825
"t_n149" 1845.45300631613 5.47250918132326 5.9729718 5.0617892
"t_n150" 2668.88138780953 4.47686962280984 5.5624613 2.8424061
"t_n151" 1927.90604220043 5.37500210668852 5.8603425 4.9743265
"t_n152" 1990.96604323979 5.28192783307038 5.7561776 4.899983
"t_n153" 3415.12399042903 4.91293014820288 5.5079473 4.22935
"t_n154" 1586.69468850768 2.9510777275318 3.8927637 2.1887617
"t_n155" 1639.97919603637 2.40782594528082 3.1824218 1.7048977
"t_n156" 2240.97926856556 2.01563754556414 2.8451821 1.2413265
"t_n157" 2237.50127699548 1.686993437959 2.4742087 0.9783691
"t_n158" 2098.50765561506 5.14585892748736 5.5880221 4.7862986
"t_n159" 3254.29028376242 3.46179623745347 4.5365238 1.7732785
"t_n160" 3365.03345492983 4.8323983006833 5.196373 4.5440248
"t_n161" 2900.79685519697 1.6718142170435 3.0607841 0.6370693
"t_n162" 8173.91221229844 4.57449953075385 4.8177177 4.3515515
"t_n163" 1975.32592282161 2.63730741714349 4.2119778 1.3974356
"t_n164" 1791.7161053937 2.22010110566635 3.8603543 1.1080881
"t_n165" 9444.74897322562 4.4311066067774 4.5163838 4.24176
"t_n166" 4418.97127199302 4.0539782042331 4.3813835 3.417237
"t_n167" 5347.31334362612 2.35247145631354 2.9146785 2.0229699
"t_n168" 3546.66554189032 1.67979133992556 2.524325 0.9146749
"t_n169" 2610.8114828694 2.24294454566969 3.1169295 1.4072196
"t_n170" 2042.84487239992 1.43066295306372 2.2471458 0.7405692
"t_n171" 1950.91798632572 0.934661197172379 1.7136673 0.400274
"t_n172" 4497.78879569798 4.26558484597522 4.4133598 4.0478221
"t_n173" 2321.814547599 3.68820642006 4.2023456 2.9656181
"t_n174" 2559.58629261744 3.26313188161769 3.908248 2.3597771
"t_n175" 2851.24740352488 1.54911842851508 2.5168028 0.7022938
"t_n176" 1230.47834956021 3.21924437661797 3.8747983 2.6521827
"t_n177" 2761.09912852065 2.40762039477807 3.3012771 1.6512093
