"parameter" "ESS" "mean" "high_hpd" "low_hpd"
"t_n142" 3316.86585701888 5.77859366619077 6.2345631 5.3246347
"t_n143" 3270.02479665358 5.69879028086773 6.1227314 5.2613439
"t_n144" 9929.48798925116 2.86202123802011 4.7461631 1.2165311
"t_n145" 3468.23796196715 5.57930818415644 5.983113 5.1451299
"t_n146" 8319.64976381692 5.21569545516916 5.7685413 4.3735229
"t_n147" 11248.2650373569 3.43372098961169 4.8265254 2.0268248
"t_n148" 5755.48074923591 1.22464112959836 2.4513797 0.3056981
"t_n149" 3805.20334235783 5.48588638303428 5.8910243 5.0478876
"t_n150" 8169.63214808273 4.77909347826232 5.6969588 3.1882378
"t_n151" 4168.93849236762 5.38861873209822 5.8166258 4.9360287
"t_n152" 5054.98814372631 5.30291415831898 5.7497967 4.8592071
"t_n153" 10152.7111777576 4.73957811810455 5.3700144 4.160095
"t_n154" 8972.7152090963 3.08548760843286 3.9683409 2.3817741
"t_n155" 8047.72636289685 2.71186138208988 3.4857313 2.0582952
"t_n156" 9290.58459297353 2.05157161931559 2.8545636 1.257762
"t_n157" 9564.83386791472 1.81453518825621 2.5579772 1.0630081
"t_n158" 9138.98137965992 4.9074735127604 5.3312654 4.5613814
"t_n159" 10423.6287560259 3.61717856431865 4.5510433 2.1192163
"t_n160" 12439.763405632 4.63423264592523 4.9363331 4.3818118
"t_n161" 6963.94627282476 1.87389249072274 3.0636149 0.871309
"t_n162" 13240.6372544069 4.49191279467252 4.6868113 4.2841073
"t_n163" 4061.47219382333 3.13535769556136 4.3400404 1.8834619
"t_n164" 4444.81583127976 2.53722150425532 3.9925392 1.4407255
"t_n165" 12123.8177754047 4.42856177691795 4.5164212 4.2414935
"t_n166" 11973.2768733143 3.99996395192489 4.408885 3.2489201
"t_n167" 11900.1170128496 2.40242073838676 3.0234182 2.067583
"t_n168" 10602.9995625503 1.10918880824399 1.7569276 0.7292207
"t_n169" 5300.88101417293 1.99135644504194 2.7378015 1.2877624
"t_n170" 4975.44391740292 1.70334582752069 2.4320306 1.0159131
"t_n171" 5717.85902423186 1.21424984615299 1.9441737 0.6970656
"t_n172" 8894.82261019179 4.28117793485362 4.4356854 4.0623754
"t_n173" 7851.04089726716 3.83002858601744 4.2897545 3.1976391
"t_n174" 8509.20937295341 3.5643647292206 4.1582431 2.8225265
"t_n175" 10290.735876095 2.21754278453419 2.9928276 1.4348734
"t_n176" 2653.24288501738 3.15253818512305 3.7958751 2.692088
"t_n177" 8141.10940237558 1.94029353932004 2.629195 1.5088425
"t_n178" 6973.5775416267 1.36129124290873 2.1753337 0.6810434
"t_n179" 1788.2520924726 2.99383183997 3.5741774 2.598845
"t_n180" 3153.5478846207 2.55008528975057 3.0927926 2.0063747
"t_n181" 4602.6637577533 2.22564853598689 2.8820655 1.5149287
"t_n182" 4953.20112060288 1.9967550066163 2.6260744 1.4239557
"t_n183" 7268.70508635251 1.13395403099828 1.8219218 0.6508342
"t_n184" 1623.12354962174 2.87710044961391 3.4466706 2.4726398
"t_n185" 2054.5514554534 2.41859058515638 2.90079 1.9723638
"t_n186" 4040.20259678543 2.02884481292706 2.6548675 1.3742634
"t_n187" 5907.99082607791 0.732965562063219 1.316482 0.2323283
"t_n188" 1931.32893465135 2.29590383499806 2.786744 1.8403252
"t_n189" 10713.0779279528 0.969886290633854 1.330783 0.6433903
"t_n190" 3924.96191349617 1.94260723877007 2.4723011 1.4476349
"t_n191" 8923.6074971284 0.893277465163047 1.4030589 0.4136663
"t_n192" 3364.65354115807 2.29402424803622 2.8149195 1.8275779
"t_n193" 7240.41069867941 1.05856022047664 1.7361926 0.586072
"t_n194" 4052.65119300865 0.320757602277651 0.8895527 0.0732265
"t_n195" 3328.12581961178 1.85749327594578 2.345265 1.3781719
"t_n196" 2405.03398311776 1.63618679713349 2.0704993 1.1809666
"t_n197" 2393.83721185597 1.56086528916727 1.9923397 1.1219915
"t_n198" 3549.2306943426 1.26057984336981 1.6093346 0.9375925
"t_n199" 4869.69227502836 1.07555438251764 1.4986193 0.6869353
"t_n200" 8338.36467590483 4.23160867569579 4.4013961 4.0052022
