"parameter" "ESS" "mean" "high_hpd" "low_hpd"
"t_n142" 2402.69923257283 6.01187444069774 6.606902 5.5697937
"t_n143" 2191.39822822899 5.93029413162047 6.4899567 5.5014904
"t_n144" 3372.09840238008 3.55993064564746 5.8841804 1.504742
"t_n145" 2126.27209156069 5.84513358319538 6.3835483 5.4112422
"t_n146" 13138.4062372069 5.18983080697739 5.798594 4.2932786
"t_n147" 6720.26764574337 2.86999034225321 4.4582907 1.5848089
"t_n148" 5301.58435165817 2.0623816409255 3.3483585 0.9753935
"t_n149" 1967.50758157664 5.65837692764846 6.162037 5.2261346
"t_n150" 1527.86652776688 4.30378684160324 5.5777208 2.4437387
"t_n151" 1938.43216792379 5.54270787539581 6.0305085 5.1108038
"t_n152" 1847.23154447875 5.46629329583357 5.9420033 5.0411741
"t_n153" 3344.22974286598 5.04365236361869 5.6821188 4.2446036
"t_n154" 1709.93603518083 2.80615542755958 3.8287686 2.0456337
"t_n155" 1723.92229089457 2.46983323218155 3.3419867 1.7412765
"t_n156" 1888.95626352532 1.76695362213766 2.6271082 0.9615388
"t_n157" 2327.91145936617 1.86812725561358 2.720945 1.0436574
"t_n158" 1945.53617923023 5.24417745554136 5.7158773 4.8481886
"t_n159" 2327.18336881436 2.82771755606355 4.3155948 1.2787343
"t_n160" 2570.64363067051 4.86289237909005 5.2631971 4.5488864
"t_n161" 2722.90374436523 1.89605913067052 3.3506999 0.718969
"t_n162" 6862.50825962378 4.55873607275151 4.8101577 4.3279065
"t_n163" 1717.70401198307 2.68692101727682 4.2946001 1.3966391
"t_n164" 1434.61183783827 1.93952031283818 3.436703 0.8402643
"t_n165" 7188.00707277977 4.42348183076496 4.5154439 4.2242509
"t_n166" 2781.05863541795 3.90479118979501 4.3348468 3.1296058
"t_n167" 5784.90723951508 2.42780767620688 3.0984502 2.0658869
"t_n168" 5790.21893579894 1.22770617399033 2.0261182 0.7156609
"t_n169" 1560.29233644456 2.14676299867785 2.9968542 1.3420811
"t_n170" 1771.16144757138 1.57271491402144 2.4003347 0.8340706
"t_n171" 1676.84971644594 0.989044373829232 1.7803169 0.3952274
"t_n172" 4856.58709813525 4.30205398701739 4.4498453 4.0745697
"t_n173" 1557.02756770468 3.63868416812955 4.2472577 2.8001878
"t_n174" 1577.62692693045 3.09307210854397 3.9124024 1.912941
"t_n175" 1981.11217772203 1.21594064781401 2.2587408 0.4378344
"t_n176" 1354.02037065402 3.21609574169768 4.0097019 2.5578598
"t_n177" 2760.67190155052 2.17046213521471 3.1341504 1.5742295
"t_n178" 3567.87525265376 1.65688921097717 2.6029787 0.7974479
"t_n179" 855.838322732605 2.86194790619966 3.5529173 2.342873
"t_n180" 1275.42067134354 2.40671643942559 3.0382244 1.7174168
"t_n181" 2342.35297370218 1.87644257890673 2.6849602 0.8748128
"t_n182" 1866.02303768308 1.70057581688795 2.4369234 0.9882737
"t_n183" 2699.89134304622 0.920429636997945 1.6836799 0.3487646
"t_n184" 818.299246247413 2.67769779093384 3.2833955 2.1848808
"t_n185" 846.691392191374 2.51014972513749 3.0898266 1.9917896
"t_n186" 1579.49382176497 2.05127961763791 2.7512308 1.2588493
"t_n187" 2178.22826670806 0.603283023570913 1.4086189 0.1548964
"t_n188" 1022.38734296724 2.04834935606355 2.6949654 1.4918408
"t_n189" 5400.03568374042 0.984841215938003 1.4614305 0.6021373
"t_n190" 1480.92085060821 1.68473157555136 2.3675159 1.0395416
"t_n191" 2579.03976510409 0.543263706727404 1.1807525 0.1598705
"t_n192" 1291.01245080169 2.10487515036387 2.6773587 1.5790128
"t_n193" 1980.4856216183 0.645512678378979 1.4602406 0.2056318
"t_n194" 1599.77377391847 0.346652570468307 0.9447224 0.0744218
"t_n195" 1091.46433570537 1.70700789220599 2.2270025 1.1754564
"t_n196" 1174.87332769242 1.60561392937059 2.1053665 1.0871618
"t_n197" 1034.25397540781 1.34950270582745 1.7746318 0.8924429
"t_n198" 994.557105036864 1.20864484030332 1.6004365 0.784946
"t_n199" 1296.10290129777 1.11537219687795 1.5592451 0.5807058
"t_n200" 3734.91529726374 4.22316463402589 4.3916021 3.9927793
"t_n201" 3145.71390194095 3.77319587854564 4.1731604 3.2806195
"t_n202" 2299.05743803465 2.4616137047664 3.4939213 1.4076681
"t_n203" 2326.66694893575 0.943408949997222 1.9360769 0.3186632
"t_n204" 1822.99190609821 3.24920828613966 3.7893455 2.7224998
"t_n205" 1758.88252474088 2.79248290099439 3.3720813 2.2252808
"t_n206" 2644.51751634819 1.23813946671296 2.1291346 0.5010068
"t_n207" 1653.96088481875 2.4666425423532 3.0088643 1.8246758
"t_n208" 1283.80202793025 2.01932651758236 2.6327853 1.3860385
"t_n209" 1854.40892307864 0.75107970392756 1.338035 0.3316184
"t_n210" 2132.40010723729 0.273655248986167 0.7179712 0.0589904
"t_n211" 1733.30412790926 2.89155307224599 3.510463 2.3521944
"t_n212" 2147.64977073155 2.58914362017666 3.2340057 1.8617305
"t_n213" 2380.90970306831 2.2980163578079 2.9657578 1.5439726
"t_n214" 2288.91950540272 1.77513163150381 2.5548632 0.8903647
"t_n215" 1919.28829209873 2.18889936314649 2.8017202 1.600649
"t_n216" 2541.34323710641 1.68864912001 2.3891204 1.0536743
"t_n217" 1983.93415328709 1.43885558519527 2.1582532 0.7345684
"t_n218" 3342.4454401472 4.15208342145436 4.335101 3.9072567
"t_n219" 1875.04824762838 2.3432756255208 3.2125266 1.5454912
"t_n220" 1688.40838581492 1.81196504079218 2.7226461 1.0854761
"t_n221" 1552.64096615332 1.21243093418699 2.0473254 0.5420522
"t_n222" 2198.15575113315 4.0289581001611 4.2370548 3.7715812
"t_n223" 1471.28757433985 2.72127197380146 3.469443 2.1934801
"t_n224" 1203.20460929423 2.30720694054219 2.9627796 1.7146011
"t_n225" 1100.63749927231 2.01589983425921 2.6555814 1.4748041
"t_n226" 1440.96002895352 1.802653055958 2.4840663 1.1659467
"t_n227" 1659.45627556719 1.27776280492195 2.0160367 0.5922477
"t_n228" 1428.75938587429 1.54356203727571 2.1695335 1.0027175
"t_n229" 1435.28739895981 1.31847954380312 1.900687 0.8449756
"t_n230" 1846.12732969925 0.745661794089217 1.3982123 0.2675594
"t_n231" 2482.43397201265 0.664348298227876 1.3042347 0.247222
"t_n232" 2963.04816707469 0.392868413371479 0.8086983 0.1488512
"t_n233" 1583.78766510819 3.85161694290873 4.0926775 3.5750677
"t_n234" 2769.91837712977 3.49540553421477 3.8366478 3.1633977
"t_n235" 2782.7532308406 2.965856835998 3.3695218 2.6815409
"t_n236" 2015.96681702236 1.12465329959447 2.2454434 0.3447101
"t_n237" 4158.89597331819 2.66218072966502 2.9533086 2.5089304
"t_n238" 8636.47281918542 2.20796609723349 2.7191769 1.6263247
"t_n239" 3265.55913569733 2.37148132272652 2.7879673 1.7228413
"t_n240" 2899.13870200922 1.80714397441809 2.4413266 0.9939383
"t_n241" 10408.2165591075 2.9837911971946 3.1109941 2.7498672
"t_n242" 5600.49257519068 2.23704956620188 2.86007 1.4463287
"t_n243" 6292.22319917433 2.82712257229598 3.0356063 2.5515662
"t_n244" 3656.08808060108 2.30675257678462 2.6833723 2.0518617
"t_n245" 5146.10379016052 1.77994010629409 2.3065777 1.1761138
"t_n246" 3511.07605045099 1.15695340999944 1.7963823 0.5168455
"t_n247" 8135.61473158223 2.60901247321815 2.9122242 2.2736727
"t_n248" 9496.35245788082 2.42795955221932 2.7727026 2.0959526
"t_n249" 10799.5383691078 2.10271741506583 2.4121121 1.837229
"t_n250" 1137.36934648919 3.652432185923 3.9272635 3.3389903
"t_n251" 793.12157524641 3.0608941010555 3.5247223 2.616056
"t_n252" 2609.12356210709 2.24018181009388 2.8724243 1.5666248
"t_n253" 3500.79423255495 1.64457455180268 2.4462809 0.83235
"t_n254" 3769.93619045662 1.69543131453808 2.4675504 0.9127277
"t_n255" 809.597568423531 2.95176293159824 3.4419423 2.4711585
"t_n256" 826.86018182161 2.40306026719071 2.9098628 1.9015182
"t_n257" 859.720165285436 2.07320315086384 2.5994295 1.5893317
"t_n258" 1044.5692337786 1.72085003725349 2.244597 1.2307724
"t_n259" 1043.54258932121 1.51518625018055 2.022963 1.0327318
"t_n260" 1147.0629604076 1.13532353087606 1.6690348 0.6868032
"t_n261" 1510.48725518653 0.976635068757291 1.5334516 0.5177866
"t_n262" 1800.39929254089 0.807590239486695 1.3428754 0.3766367
"t_n263" 648.086175047436 3.39168261126604 3.719092 2.9970812
"t_n264" 1097.29827136023 2.57178743118716 3.1399065 1.8915914
"t_n265" 1943.37377363128 1.53323294720293 2.2340544 0.8682103
"t_n266" 2348.94926369161 0.962567506349647 1.6820464 0.4209571
"t_n267" 1516.98527741076 2.21508321462141 2.8887737 1.4889681
"t_n268" 1739.06351623209 1.97261728596745 2.6987539 1.2269491
"t_n269" 2528.16897102747 1.21252072157658 2.0282826 0.5016833
"t_n270" 711.051862658533 2.91666217017943 3.2935268 2.5127215
"t_n271" 1913.38852527116 1.84017512475974 2.6046095 0.9768427
"t_n272" 841.84670522758 2.68204103852008 3.0529776 2.295111
"t_n273" 2276.17839389212 2.4596828363702 2.9417054 1.7837155
"t_n274" 3993.12849954028 1.95472614372535 2.6405378 1.1092447
"t_n275" 977.054270763709 2.55461576477418 2.9386255 2.173217
"t_n276" 1016.41876503614 2.25322935303594 2.643955 1.8878623
"t_n277" 1280.44459346773 1.85131607250708 2.2147084 1.5371343
"t_n278" 1382.19924594346 1.75937416791289 2.104009 1.4569095
"t_n279" 1595.14552296459 1.65939878860619 1.9738266 1.3746309
"t_n280" 2184.26359693441 1.59147750915505 1.8697115 1.3163036
"t_n281" 3812.4044341825 0.885259376529082 1.4696927 0.3167761
"mu" 5579.29412060185 0.137763349447253 0.1570427 0.1213511
"sigma2" 3228.9577761999 0.583104137114605 0.7297349 0.4612287
"lnL" 18000.9999999999 -135.454411143825 -114.038 -158.815
