"parameter" "ESS" "mean" "high_hpd" "low_hpd"
"t_n142" 3310.75541222976 6.05042643354258 6.6773329 5.6164478
"t_n143" 3314.11822182221 5.9699185625743 6.5418747 5.5471656
"t_n144" 4250.3231215781 4.78998911569357 6.1347765 2.3492365
"t_n145" 3352.10594275232 5.84702374112549 6.3575623 5.4365123
"t_n146" 11779.2085832449 5.24745234448086 5.8039341 4.3470571
"t_n147" 8870.89488062913 4.46158829656686 5.6244326 2.7208023
"t_n148" 6539.6123793883 3.48837242152658 5.2811793 1.9013646
"t_n149" 3598.68759048768 5.72937040561636 6.2168673 5.3214387
"t_n150" 3341.18920140839 4.96976674613633 5.8544531 3.0210916
"t_n151" 3986.18235076916 5.43210119053941 5.8875938 5.0318181
"t_n152" 4034.98104359365 5.31521041904339 5.7541691 4.9268234
"t_n153" 6772.10439206241 4.93760690954947 5.5277762 4.2038736
"t_n154" 3712.63890035188 2.78244004984168 3.903187 1.9605462
"t_n155" 3184.89825678588 2.39564861214933 3.2646895 1.6346554
"t_n156" 3826.59544563018 1.88751353859786 2.782691 1.0394046
"t_n157" 3325.79180362065 1.67440781913783 2.5096501 0.9404129
"t_n158" 4529.21308252541 5.13992022364869 5.5736944 4.7741287
"t_n159" 4333.47290096272 3.06190189035609 4.3415715 1.4815473
"t_n160" 5624.10633909757 4.89280757669574 5.2911378 4.5704208
"t_n161" 3069.87471518513 1.35706553437031 2.6678061 0.4637013
"t_n162" 8461.38315016598 4.59819214548081 4.8902522 4.34648
"t_n163" 2119.92416580149 2.31730622024888 3.5320772 1.3174093
"t_n164" 2159.9611433277 1.81461424886951 2.8648962 0.8943638
"t_n165" 8042.0846326821 4.41546299027276 4.5139625 4.2080242
"t_n166" 6032.38511254074 3.81880768170102 4.2876033 2.9629753
"t_n167" 8369.36429204465 2.41437988547303 3.1125877 2.0583825
"t_n168" 6125.58569357633 1.38479935998 2.2430611 0.7968236
"t_n169" 3193.92222715736 2.18744061288817 3.0224113 1.3797309
"t_n170" 2620.04643272916 1.59272474998611 2.4034722 0.868916
"t_n171" 2609.76552007126 1.08484588301205 1.8649786 0.4664272
"t_n172" 3607.89385126251 4.20485061338815 4.38444 3.9638634
"t_n173" 4071.0192628881 3.84222765989112 4.2446351 3.1402846
"t_n174" 2711.21304402062 3.31962789587245 4.0816971 2.2401642
"t_n175" 2646.14353805975 1.60646661208266 2.5936762 0.7284292
"t_n176" 2044.9021059471 3.45026363300928 4.063232 2.7508695
"t_n177" 1023.97928991223 2.2128449382201 3.1358457 1.5732947
"t_n178" 1099.60191369417 2.11020600863841 3.0318739 1.4260686
"t_n179" 1028.87353989387 2.95972784121438 3.6026527 2.4374064
"t_n180" 1524.88015124992 2.50731725419699 3.1282019 1.8612019
"t_n181" 2052.82078538198 2.17607451806011 2.9048853 1.3181795
"t_n182" 2176.1860986068 1.78830777207933 2.5225535 1.0895473
"t_n183" 2231.53030280681 1.48020584955836 2.2243803 0.7766235
"t_n184" 1170.24099974451 2.7199759542581 3.3018463 2.2272395
"t_n185" 1076.14813263744 2.58802329202267 3.164153 2.0722722
"t_n186" 2596.66795250065 1.84135317031832 2.7030998 0.7909126
"t_n187" 2137.92378326584 0.405362089367257 1.1270302 0.0815454
"t_n188" 1361.92854792715 2.23335555515805 2.8191716 1.6934577
"t_n189" 3988.70375161065 1.27620953694239 1.8994074 0.8497049
"t_n190" 1931.63241766769 1.78478085428032 2.4250711 1.1911047
"t_n191" 3011.82577944057 0.882308783845342 1.5800223 0.3697443
"t_n192" 1486.41439060063 2.20232681319927 2.7409648 1.7004056
"t_n193" 1682.54762136157 1.11252139903894 1.8704301 0.4737231
"t_n194" 1818.17418392087 0.809147874112549 1.6012096 0.2835178
"t_n195" 1589.79633742154 1.78567847419588 2.3157122 1.3095336
"t_n196" 1471.13753899853 1.62188600182768 2.1069711 1.1657019
"t_n197" 1568.18625035138 1.43268038006222 1.8594163 1.0084091
"t_n198" 1384.88712965559 1.27474575685795 1.6531801 0.8857964
"t_n199" 1712.21007226706 1.18912955001389 1.607934 0.6449804
"t_n200" 3412.97465557745 4.17253388760624 4.3606698 3.9265554
"t_n201" 5398.87499196393 3.83256506175212 4.2001852 3.349387
"t_n202" 3122.43291798915 2.24310575915227 3.3163507 1.3336655
"t_n203" 3012.68786227475 0.840974335003611 1.7028968 0.3205843
"t_n204" 3322.60984225089 3.25557491822677 3.7696556 2.7228153
"t_n205" 3282.23589694045 2.81449100308872 3.3654735 2.2693654
"t_n206" 2150.36644105858 1.25376963870341 2.1067143 0.5103911
"t_n207" 3030.97452622896 2.61019522855952 3.0708465 2.0022582
"t_n208" 2697.96034741456 1.97384318138437 2.58849 1.3399723
"t_n209" 1798.67298909112 0.660737812477085 1.2010864 0.3074664
"t_n210" 1831.25363261525 0.505176229826121 1.0114734 0.1829447
"t_n211" 2440.09621609771 2.65148343986445 3.2202928 2.0572032
"t_n212" 2887.33168629899 2.22921521626576 2.8999003 1.4819694
"t_n213" 2623.41523509629 1.94418371827121 2.6556478 1.1992605
"t_n214" 3368.98075434287 1.26276722577079 2.149506 0.4654201
"t_n215" 3007.58169546365 1.98262064170879 2.6044892 1.4048314
"t_n216" 3925.3382113877 1.4716211313927 2.1374025 0.9403901
"t_n217" 3389.88748639313 1.42398376832398 2.1044147 0.7564451
"t_n218" 3264.43275946113 4.11804984112549 4.3167332 3.8677896
"t_n219" 3202.81914745629 2.67328924094217 3.6009127 1.790587
"t_n220" 1645.65996195624 1.49357002908727 2.3118403 0.9274631
