"parameter" "ESS" "mean" "high_hpd" "low_hpd"
"t_n142" 4216.29630776312 5.86994245573579 6.3927446 5.4362089
"t_n143" 3689.06116055875 5.77933801904339 6.2663042 5.3447309
"t_n144" 6912.96089034143 3.53178742300428 5.5936615 1.8597553
"t_n145" 3416.91031761193 5.67119847529582 6.1319166 5.2424907
"t_n146" 12355.3882009418 5.21149985041387 5.7779783 4.3838391
"t_n147" 9636.97469928412 3.16968542568191 4.8323036 1.9621852
"t_n148" 6577.88727976738 2.01617708733404 3.1523988 0.8939743
"t_n149" 3213.8316617109 5.44956880154991 5.9015497 5.0093635
"t_n150" 3839.01673310805 3.87624112494861 5.4832736 1.7789054
"t_n151" 3188.48676287064 5.36556820136659 5.8220801 4.9312067
"t_n152" 3250.8534596584 5.28006384715849 5.7384811 4.8506482
"t_n153" 5649.10051367937 4.97007436415199 5.5836315 4.2172409
"t_n154" 3184.26410410387 3.077138556008 4.1303005 2.2081811
"t_n155" 2355.03568744944 2.37824572685962 3.1572124 1.6268791
"t_n156" 2542.97943828331 1.82593915498028 2.6423839 0.9787497
"t_n157" 2756.30655332935 1.77663451891006 2.6260566 0.8530797
"t_n158" 3923.68869645997 5.1174794273707 5.5680836 4.6991576
"t_n159" 2873.83719510992 3.55629639510583 4.5588297 1.9907005
"t_n160" 5217.11053506001 4.89451451366035 5.3382438 4.5211224
"t_n161" 4255.84297706229 2.7989378948114 4.1930661 1.5633947
"t_n162" 6686.46145147223 4.71735452810955 5.145797 4.381683
"t_n163" 4469.12770838074 2.88913801052164 4.0292361 1.9934592
"t_n164" 3999.7675506369 2.44688901542692 3.5517574 1.5319887
"t_n165" 6968.997550396 4.37702679394478 4.5076683 4.1478188
"t_n166" 6083.2881247478 3.7768809413477 4.3242525 2.9194112
"t_n167" 8412.95329594078 2.47688558785623 3.2357645 2.0891829
"t_n168" 6222.66555878638 1.53625961399922 2.4644817 0.8808664
"t_n169" 2990.06328705041 2.58099082455975 3.4984599 1.683119
"t_n170" 1807.28719248814 1.85771388202322 2.7549646 0.9215452
"t_n171" 1910.11678065888 1.07192833559247 2.2056794 0.207484
"t_n172" 3685.63958395535 4.22803815359147 4.4269859 3.9691433
"t_n173" 2599.12853062344 3.89588298591189 4.316837 3.180821
"t_n174" 2830.35860099447 3.51482905220266 4.1529611 2.487253
"t_n175" 2221.88760961642 1.59922025251375 2.5945085 0.6256054
"t_n176" 2229.05018634864 3.63926234230321 4.1931929 2.9420455
"t_n177" 2651.67708822909 2.61407501354925 3.5659027 1.7099077
"t_n178" 4302.68549834075 1.71801040549414 2.8047722 0.6472019
"t_n179" 1337.49090925662 3.24597661687684 3.9021904 2.7263766
"t_n180" 1837.0503045814 2.87965038111216 3.5534223 2.254585
"t_n181" 3923.88888602809 2.50113972346536 3.2695107 1.6611106
"t_n182" 2711.54738473557 2.35536930309427 3.026509 1.6776861
"t_n183" 2770.98634838279 1.6543116677129 2.3677847 0.895043
"t_n184" 1105.64278984942 3.09217714653075 3.7381868 2.5927679
"t_n185" 1287.90683730975 2.92834400276651 3.5739291 2.3835589
"t_n186" 3485.84286748532 2.20581264886395 2.930553 1.4484536
"t_n187" 2968.28251281157 0.646376926115216 1.52087 0.151589
"t_n188" 1506.15213938397 2.5615027475918 3.2562733 1.9337167
"t_n189" 4367.29377570685 1.24568541531026 2.0531571 0.7947212
"t_n190" 2772.51307092405 2.15560147802344 2.847238 1.4584723
"t_n191" 2674.55814197479 1.1133451573857 2.0276011 0.3513299
"t_n192" 1320.89577431024 2.87825027175157 3.4878119 2.3231119
"t_n193" 3435.02885495401 2.19371188281207 2.890273 1.4643568
"t_n194" 2943.21202097788 1.16676136697406 2.0894471 0.3992266
"t_n195" 1237.81502225798 2.52283330112216 3.0996305 1.9572946
"t_n196" 1010.27473751079 2.28895228770624 2.8847614 1.7105482
"t_n197" 898.518232972559 2.15963505324704 2.7628142 1.5724183
"t_n198" 945.426221084397 2.06334145487473 2.6872161 1.4350235
"t_n199" 1366.11323470798 1.8049715874507 2.4701717 1.0423334
"t_n200" 3173.96957494396 4.15997899657241 4.3742582 3.8904946
"t_n201" 4678.28284582979 3.91355679775012 4.277011 3.376164
"t_n202" 2825.4241739138 2.48719527137937 3.5578284 1.3674752
"t_n203" 2659.59059529706 1.46338056029665 2.5808013 0.4943761
"t_n204" 2649.97215309124 3.43550165167491 3.986786 2.8651207
"t_n205" 2706.21622216552 3.01603397590689 3.6450485 2.3862792
"t_n206" 2759.70011299979 1.50624938302872 2.5182494 0.5146735
"t_n207" 2905.81996086589 2.54516167251264 3.0614078 1.8972165
"t_n208" 2889.51675366356 2.25366438170102 2.8873901 1.5883673
"t_n209" 2602.74866241147 0.811278271507138 1.5901963 0.3002388
"t_n210" 2862.78504818375 0.240113710621632 0.7412569 0.0450128
"t_n211" 2709.86174181797 3.19377205945781 3.8178729 2.6151549
"t_n212" 3390.97874376574 2.74162317374035 3.4071966 2.0871218
"t_n213" 3481.30795946416 2.47570915829676 3.1501869 1.7705379
"t_n214" 3049.73715278546 1.3019113995278 2.1203194 0.5920293
"t_n215" 2619.8987698969 2.62037643413699 3.2907406 1.954314
"t_n216" 3023.00342385854 2.2075635905283 2.9884551 1.3618239
"t_n217" 3186.46959950304 2.08895805929115 2.8495326 1.2774565
"t_n218" 3037.802598946 4.09166454220321 4.3217991 3.8151914
"t_n219" 2858.11973128648 2.76038236306872 3.7446386 1.8181758
"t_n220" 1987.85845089645 2.37094194489195 3.4488755 1.4056828
"t_n221" 1833.76637104607 1.98317484855841 3.130267 0.9866635
"t_n222" 2873.78368792016 3.94410228934504 4.1979768 3.6545357
"t_n223" 1938.27936653788 2.71864595666907 3.414986 2.1986917
"t_n224" 1980.63056906153 2.52139547316816 3.1817741 1.9885958
"t_n225" 1659.36449223532 2.33388294866396 2.96894 1.7857168
"t_n226" 2322.5755254138 2.16243304245875 2.8314134 1.5432697
"t_n227" 2889.05585244679 1.85614748176768 2.5496819 1.0671165
"t_n228" 2112.8079927897 2.06528336785734 2.7305559 1.4121312
"t_n229" 2014.30013864434 1.64567783972557 2.3136463 0.9882199
"t_n230" 1956.56745039894 0.79428928267874 1.6877569 0.1920328
"t_n231" 2289.78221226903 1.08742573219266 1.8069409 0.5012904
"t_n232" 2736.18301224935 0.600382243686462 1.2259377 0.2280938
"t_n233" 2683.71827122692 3.8367696193767 4.1014025 3.5439948
"t_n234" 5321.02836410192 3.37875579665019 3.7211017 3.0787854
"t_n235" 6562.91676697727 3.01784590777735 3.3720483 2.723463
"t_n236" 4490.53583415082 2.1571540510805 2.8691246 1.2189961
"t_n237" 8144.16678517317 2.71226374241431 3.0072416 2.5175463
"t_n238" 7720.89991819338 2.02523963973668 2.571951 1.5927871
"t_n239" 6959.16822038233 2.44736045119716 2.8589875 1.8917679
"t_n240" 4741.65889850957 1.90244928181768 2.4639105 1.1312043
"t_n241" 8052.81767052653 2.98091479027276 3.1062803 2.7586263
"t_n242" 5065.57148313004 1.74635532447086 2.4698651 1.032635
"t_n243" 6033.01458032101 2.85801824586412 3.0543251 2.5836623
"t_n244" 4571.96958369389 2.31955354867507 2.679089 2.0596996
"t_n245" 4712.99494099719 2.05717739075607 2.5186743 1.4557141
"t_n246" 3726.78630519989 1.45474768153436 2.1351029 0.6546989
"t_n247" 8241.67257533328 2.46310415024721 2.793806 2.1408458
