"parameter" "ESS" "mean" "high_hpd" "low_hpd"
"t_n142" 1277.80061935557 5.8620423331926 6.4599905 5.3270914
"t_n143" 1361.16323712568 5.77101719360591 6.3476985 5.2388812
"t_n144" 13178.9821860389 2.92355617106827 5.0698143 1.3581531
"t_n145" 2107.8190019249 5.53431429654464 6.0483077 4.9944285
"t_n146" 6277.80503282726 5.14626649135048 5.7585091 4.359942
"t_n147" 10262.6011678473 3.06838096649075 4.3807165 1.8491129
"t_n148" 9753.82519902693 1.72451941616577 2.977293 0.5351825
"t_n149" 2690.95569216587 5.41483264816955 5.9335078 4.8556313
"t_n150" 10439.5355695635 4.51062668329537 5.6818512 2.5322409
"t_n151" 2988.48032971162 5.31997539428921 5.8590636 4.7683041
"t_n152" 3664.94384861861 5.06324274479196 5.6380836 4.5515564
"t_n153" 4827.82166673168 4.78104557929559 5.4674121 4.1406018
"t_n154" 6533.66024687189 2.86144958492862 3.9845924 1.9862923
"t_n155" 5202.36798439098 2.50580940683851 3.3744597 1.69924
"t_n156" 5780.90021039887 2.02807034973057 2.9392675 1.0962952
"t_n157" 7618.42803408082 1.68387416921282 2.6795976 0.6821606
"t_n158" 4425.71039329064 4.94691074100328 5.5460338 4.4636724
"t_n159" 11529.4211563156 3.43852925116938 4.51847 1.7369863
"t_n160" 5548.75570787065 4.75645678272874 5.3448732 4.3451897
"t_n161" 5634.24169740294 1.2269345110105 3.0975343 0.0588124
"t_n162" 11367.2847170022 4.50643943028165 4.9293564 4.2142017
"t_n163" 8010.27494057362 2.6235859108494 4.1201108 1.4823808
"t_n164" 7251.16459320485 2.02790361391589 3.1911125 0.8996091
"t_n165" 6043.0496563235 4.38107487107938 4.5089508 4.1482627
"t_n166" 7189.84478238702 3.83739345156936 4.3994025 2.8650041
"t_n167" 11390.1408414539 2.6318696483362 3.578868 2.1206426
"t_n168" 10722.7747425466 1.25796959611688 2.2157773 0.7488383
"t_n169" 6552.97077813991 2.47092563014277 3.4020365 1.5162801
"t_n170" 4933.17980039809 1.99196890670518 2.9410426 0.978392
"t_n171" 5799.06915587703 1.5474473785123 2.5283648 0.5934569
"t_n172" 2258.07338650652 4.21402248062885 4.4580359 3.8560705
"t_n173" 2758.37517036916 3.94550158172324 4.3896624 3.0158073
"t_n174" 5890.18714967464 3.38513336824065 4.2102259 2.0427444
"t_n175" 7873.11249817998 1.70823141848231 2.9639114 0.5269103
"t_n176" 1430.69376153574 3.59217789511138 4.2840686 2.7382102
"t_n177" 6296.2376161442 2.56917941813233 3.8462122 1.6054492
"t_n178" 5814.33714307807 1.21474822628187 2.7494923 0.0839662
"t_n179" 1942.80889189976 3.16966193427587 4.0937378 2.4838094
"t_n180" 2974.72813609403 2.70428056012444 3.6224107 1.9434576
"t_n181" 8622.38951449352 1.90708154629743 2.9196311 0.8046159
"t_n182" 5347.69650774285 1.93568472526526 2.8254742 0.9694117
"t_n183" 5911.70102142132 1.29144646120771 2.3304207 0.2614791
"t_n184" 1955.4780958418 2.97279381166046 3.9050177 2.2816047
"t_n185" 2217.52069073571 2.67392957070718 3.4816039 1.9745478
"t_n186" 5248.99596784136 1.87166933593689 2.857404 0.7146366
"t_n187" 5545.15893455155 1.00096080262208 2.179489 0.1036455
"t_n188" 2439.88063520483 2.34862225663019 3.1710098 1.6278753
"t_n189" 9287.14137148044 1.39863689908338 2.3353237 0.8244365
"t_n190" 3918.35993295203 2.02675008305094 2.8644431 1.1830956
"t_n191" 5594.65882069578 0.961941340414421 2.0451795 0.1085673
