"parameter" "ESS" "mean" "high_hpd" "low_hpd"
"t_n142" 1700.42266743594 6.41049713790345 7.1065824 5.8370909
"t_n143" 1583.32926737597 6.32345155888562 6.9703946 5.770392
"t_n144" 2884.99586766735 3.49592348906727 5.3908099 1.8780143
"t_n145" 1516.09428719499 6.06150029240598 6.6225708 5.5490949
"t_n146" 8764.72689109993 4.98798071164935 5.7351492 4.2807295
"t_n147" 6990.65138473666 3.20840201317705 4.3855389 2.118324
"t_n148" 4213.60056322739 1.66954821575468 2.646935 0.9109012
"t_n149" 1488.23517525104 5.91404150823288 6.4430208 5.4186705
"t_n150" 2907.18118071605 5.36709257280707 5.9362907 4.1337732
"t_n151" 1529.49315587472 5.844570903922 6.3655523 5.3577938
"t_n152" 1669.13408650757 5.60670716063552 6.1004002 5.1437146
"t_n153" 5583.16736556521 4.42958482232098 5.0673053 4.0471474
"t_n154" 2587.99587763383 2.84511358409533 3.6829763 2.1178396
"t_n155" 1878.51284664092 2.26116883744792 2.9875378 1.6084249
"t_n156" 2149.77941683526 1.78047394149214 2.5339497 1.1517088
"t_n157" 2190.3803220186 1.77103346487973 2.5509616 1.124236
"t_n158" 2956.10251045871 5.18152495812455 5.6545747 4.77222
"t_n159" 2809.09742425803 3.13997594458641 4.333376 1.577943
"t_n160" 4606.88252995682 4.88627061949336 5.3087084 4.5334932
"t_n161" 2447.96281608797 2.26582010736626 3.6466722 1.1880854
"t_n162" 7370.56312025361 4.50256520639409 4.7333887 4.2442992
"t_n163" 974.709134068993 3.27259361881007 4.4313969 1.654088
"t_n164" 989.653342441784 2.95367790006111 4.2433235 1.4472448
"t_n165" 5568.4487342955 4.38455863531471 4.5094227 4.1535915
"t_n166" 7902.49687076061 3.99070028582301 4.3449616 3.3812953
"t_n167" 7653.20223864459 2.42802141605466 3.1507074 2.064416
"t_n168" 3832.34608329541 1.3731541638409 2.2349332 0.8224401
"t_n169" 2730.32200827003 2.49077100204989 3.2582936 1.734847
"t_n170" 2326.17981747953 1.8544457158769 2.5950098 1.2252744
"t_n171" 2248.04510681743 1.31778844327537 1.9984892 0.6878248
"t_n172" 3387.29675736356 4.17253533005944 4.371402 3.9084498
"t_n173" 3395.05181724876 3.83564689412255 4.2363017 3.2024918
"t_n174" 4005.28142693609 3.11945910588856 3.7761127 2.1847205
"t_n175" 3046.61611048845 1.91935626851842 2.865203 1.0743
"t_n176" 2359.35108549443 3.49216735693017 4.0492405 2.8783717
"t_n177" 3241.79033766741 2.052131952086 2.9848396 1.5434756
"t_n178" 3113.34826581783 1.58906488437309 2.4963815 0.9099157
"t_n179" 1238.75275925686 3.04981930691628 3.6520054 2.5345956
"t_n180" 2233.00743801331 2.51321147211266 3.1722847 1.780487
"t_n181" 2404.18977459257 2.13453708652853 2.9112895 1.3554728
"t_n182" 2769.511148499 1.52067000019443 2.2686273 0.8435545
"t_n183" 2629.24302691096 0.850163402527637 1.5830743 0.3396667
"t_n184" 1180.10273557693 2.95653247190156 3.5503719 2.4600641
"t_n185" 1291.283015043 2.81244224715294 3.4284429 2.2920748
"t_n186" 2488.08803474929 1.89765596181323 2.6503305 1.2326963
"t_n187" 2457.06244400941 0.687148952235987 1.4039912 0.28664
"t_n188" 2061.10659070099 2.22170492721515 2.8461577 1.6579948
"t_n189" 5906.36180429146 0.992367499533359 1.4268608 0.6545495
"t_n190" 3158.76659516891 1.4452013695128 2.0477482 0.8661807
"t_n191" 2645.23890774289 0.473303423359813 0.9696525 0.1715307
"t_n192" 1955.79861464485 2.29750540543303 2.8636806 1.7911355
"t_n193" 3443.26141766997 1.30646793500361 1.9108507 0.6845925
"t_n194" 2803.0488762173 0.414175119387812 0.8778125 0.1367616
"t_n195" 1489.91047489539 1.90840406827954 2.4450649 1.4979819
"t_n196" 953.38227783048 1.66281281401033 2.124765 1.3380022
"t_n197" 947.682720610492 1.63151123300372 2.0911289 1.3083613
"t_n198" 1289.8937024101 1.44304384880284 1.833612 1.1455683
"t_n199" 1810.94582089373 1.31119808605633 1.7317782 0.8304561
"t_n200" 3040.37610386423 4.09565858111772 4.3064222 3.8262976
"t_n201" 3613.80727685224 3.59164321845453 3.9773218 3.1941164
"t_n202" 2230.53207803726 2.3561489398589 3.2311819 1.5455533
"t_n203" 2318.9121220796 1.70589076476862 2.5919352 0.9856181
