"parameter" "ESS" "mean" "high_hpd" "low_hpd"
"t_n142" 743.335467582479 6.47377146239653 7.2764963 5.8340045
"t_n143" 703.035444824671 6.3806252975168 7.1360802 5.7705484
"t_n144" 2615.30634711727 3.8955090537859 6.0518994 1.6781456
"t_n145" 679.322129239435 5.98985652684851 6.6364266 5.4594851
"t_n146" 6458.57779428964 4.96271812247653 5.7382736 4.2418338
"t_n147" 6787.55347346266 2.78229185077496 4.2831838 1.5967411
"t_n148" 3034.77661498562 1.02013341044942 1.9717867 0.3096765
"t_n149" 710.400905188748 5.88707079353369 6.5042703 5.3724192
"t_n150" 1295.49865209951 4.73832085906894 5.8039872 2.8893796
"t_n151" 798.85187299831 5.77906318426199 6.3783579 5.2757663
"t_n152" 948.179265700764 5.56579912258763 6.1329632 5.0939609
"t_n153" 2841.37879891389 4.80372383993667 5.5483973 4.1289285
"t_n154" 1881.05881782311 2.8594003388534 3.8909317 2.0678081
"t_n155" 1798.32094400293 2.33666262956502 3.1085279 1.6153617
"t_n156" 1886.98888066457 1.8419963882451 2.6798396 1.0947791
"t_n157" 1751.40548704487 1.67065563730348 2.4943432 0.9845547
"t_n158" 1216.04780298357 5.33655282159325 5.8702951 4.90137
"t_n159" 2199.02003129577 3.13451539911672 4.401592 1.4639115
"t_n160" 1918.31542234339 4.99935390944392 5.4687055 4.6487366
"t_n161" 2979.14606981906 1.65126015604133 3.0280294 0.6200743
"t_n162" 3665.70532903651 4.68149276218543 5.0292842 4.4348574
"t_n163" 2007.46515656901 2.32252022295984 3.886886 1.2452134
"t_n164" 1712.53442916341 1.81792426885729 3.0219646 0.8966233
"t_n165" 8683.69494718555 4.44168330119993 4.5196692 4.2688804
"t_n166" 4836.50551978195 4.09758503342592 4.419331 3.3803529
"t_n167" 8354.65173470406 2.36113112596522 2.9389781 2.0226739
"t_n168" 3871.93312052098 1.5078213913727 2.459189 0.8001909
"t_n169" 2286.72119123632 2.36252590913838 3.2479533 1.4974843
"t_n170" 1979.9896949171 1.54556943504805 2.3407134 0.851297
"t_n171" 1806.9015689179 1.11541122438753 1.8170875 0.4529525
"t_n172" 5528.25375944883 4.30618081902117 4.4406852 4.0997062
"t_n173" 1349.70430423322 3.18711330864952 3.980886 2.5249705
"t_n174" 1725.2337081929 2.79863670838842 3.6704945 1.9065796
