"parameter" "ESS" "mean" "high_hpd" "low_hpd"
"t_n142" 2859.7830756383 5.90218217020166 6.4405616 5.4547546
"t_n143" 2882.90076779193 5.81704927738459 6.3176411 5.3807592
"t_n144" 6006.0717695876 3.74431593900339 5.820465 1.6953684
"t_n145" 3164.40525153853 5.62569403575912 6.0853332 5.1961283
"t_n146" 8069.88015286857 5.26339273091495 5.7784586 4.506173
"t_n147" 7001.13679371248 3.49208155249153 4.5612559 2.3779882
"t_n148" 6567.65976815807 3.03323612785956 4.2793718 1.8932125
"t_n149" 3414.33033821303 5.53279812688184 5.9835165 5.0929803
"t_n150" 4261.27570779767 4.65632156021332 5.6452435 2.8686776
"t_n151" 3839.43663797557 5.4497718095328 5.9004432 5.010643
"t_n152" 4097.5237587326 5.35402943119827 5.8113559 4.9236954
"t_n153" 9342.4375416129 4.62913256910727 5.2713473 4.1010978
"t_n154" 4603.40475631136 2.96407589477251 3.9450708 2.1864101
"t_n155" 4175.25768903195 2.67542434837509 3.5814589 1.9247494
"t_n156" 5788.61188077197 2.08453219090051 2.9959613 1.1449347
"t_n157" 6146.6807238064 1.44369326909061 2.2476973 0.8163206
"t_n158" 5108.51613359728 5.19290108418421 5.6720038 4.7776082
"t_n159" 6919.02685230692 3.10306211844342 4.3596202 1.5028657
"t_n160" 8552.41187454196 4.8891055810455 5.3323754 4.5445807
"t_n161" 6057.69922620536 1.98282175914671 3.4395389 0.912348
"t_n162" 11270.009902857 4.69260960092773 5.0791572 4.4096276
"t_n163" 4274.25561092402 2.47481669248931 4.1287291 1.2508349
"t_n164" 4135.88523274585 1.98055446157991 3.3610494 0.9584388
"t_n165" 11168.1852035559 4.42957889453364 4.5166798 4.2363841
"t_n166" 9094.11889456825 4.02861659761124 4.4258552 3.2904258
"t_n167" 9484.8526743584 2.34312480409977 2.9033867 2.0150086
"t_n168" 6390.4616156136 1.53328538947281 2.439405 0.8559901
"t_n169" 5262.46761741853 2.37640187175157 3.2392884 1.5211893
"t_n170" 4686.19328387183 1.75244173984779 2.6268978 1.0338386
"t_n171" 5239.4752055168 1.1780013435198 1.9708964 0.5251048
"t_n172" 6960.09541195158 4.26816172201544 4.4256844 4.0364987
"t_n173" 4157.77628760894 3.53885331401589 4.130542 2.8606915
"t_n174" 5166.52596888117 3.13768917612355 3.9173272 2.1394578
