"parameter" "ESS" "mean" "high_hpd" "low_hpd"
"t_n142" 1767.33038947457 6.12277630241653 6.8075631 5.6446039
"t_n143" 1653.63723695526 6.02981113769791 6.6669495 5.5579635
"t_n144" 1919.44466474769 4.43322390967724 6.178453 2.0870591
"t_n145" 1692.47025667995 5.71740783835342 6.2638701 5.2632906
"t_n146" 8945.15367736438 5.21829366075774 5.7831293 4.4135455
"t_n147" 5529.27716399813 3.06451045919671 4.4874132 1.9389592
"t_n148" 3388.79814381231 1.68354670451642 2.7749855 0.8452627
"t_n149" 1702.46828732196 5.59570084815844 6.1201473 5.1597157
"t_n150" 1272.45492634291 4.73527831059386 5.6896053 2.6807628
"t_n151" 1823.68680086991 5.30726605654686 5.7951157 4.9030077
"t_n152" 2066.17922022355 5.2230686374757 5.6974835 4.8357798
"t_n153" 4598.13286654169 4.78413312614299 5.3815582 4.1455084
"t_n154" 1807.74217586919 2.68435494228098 3.5540528 1.896455
"t_n155" 1747.61262249891 2.46015685365257 3.2428981 1.7060027
"t_n156" 2666.04395307841 1.87390161494917 2.751629 0.9722011
"t_n157" 2158.66011401769 1.72759684938059 2.5612448 0.977653
"t_n158" 2097.24290850558 5.0680777903672 5.5163763 4.704416
"t_n159" 3213.011335457 2.94835905911894 4.3475145 1.3492447
"t_n160" 3987.65006751292 4.76038734290317 5.1259041 4.4629848
"t_n161" 2431.46654721203 1.47454821123826 2.7697309 0.6009005
"t_n162" 7372.03889856736 4.56618143152603 4.8306959 4.3178347
"t_n163" 1721.2826488794 2.40144995781901 4.2737027 1.0766223
"t_n164" 1575.65277418512 1.67344018706183 3.079087 0.6798731
"t_n165" 7687.42661000487 4.41337204259208 4.5135164 4.1987463
"t_n166" 4426.58909164366 3.75810030556636 4.3054328 2.8665093
"t_n167" 8807.80654582267 2.39544644712516 3.0225774 2.0476821
"t_n168" 3281.66933703542 1.53067922794845 2.46652 0.8462929
"t_n169" 2392.74911147383 2.3160907668574 3.2196689 1.4191244
"t_n170" 1793.35202308151 1.62480283263708 2.5176539 0.873698
"t_n171" 1762.52220030819 1.16686086974057 2.05862 0.5111044
"t_n172" 4255.16246782414 4.23940467682907 4.4114594 3.9988731
"t_n173" 1547.12405260682 3.37716242187101 4.0877601 2.6866943
"t_n174" 1773.77022155256 2.84712681873229 3.7194372 1.9098142
"t_n175" 2490.09831606265 1.33677770263874 2.3123166 0.6115756
"t_n176" 1178.07743581897 3.05783747468474 3.8058484 2.5122696
"t_n177" 2462.76981608075 2.25134291093273 3.1402083 1.5912857
"t_n178" 3420.13679740757 1.65872546788512 2.6285749 0.7888383
"t_n179" 718.603773132398 2.81315328656186 3.4355097 2.3353853
"t_n180" 1130.30656332328 2.5994079247764 3.2137476 1.9799349
"t_n181" 2529.17603690075 1.66080592418199 2.693455 0.6938032
"t_n182" 2044.03967019443 1.95725448108438 2.6772573 1.1779544
"t_n183" 2876.85511677613 1.12083653668685 1.9263108 0.4804593
"t_n184" 703.584119077733 2.73765433142048 3.3293687 2.2661
"t_n185" 823.474498152002 2.47921186071885 3.0302626 1.9855502
"t_n186" 1909.05254989086 1.90047178127882 2.5900923 1.1393685
"t_n187" 1462.6993433388 0.51735289629465 1.2390608 0.103493
"t_n188" 1237.40391446242 2.07653492590967 2.6644604 1.5649942
"t_n189" 3163.2477077115 1.14561861449364 1.7188681 0.7833898
"t_n190" 1483.64081214414 1.82174325798567 2.4151786 1.2545333
"t_n191" 2307.34226595709 1.02044074455308 1.6800976 0.4330395
"t_n192" 1300.46675441691 2.31173112333759 2.8779871 1.7856107
"t_n193" 2137.5876443591 1.43896843279262 2.1545569 0.8042263
"t_n194" 2134.31196621486 1.06303102384868 1.8427148 0.3616323
"t_n195" 1960.96167222437 1.9912347358869 2.5706815 1.466827
"t_n196" 1993.25411042031 1.71587059752236 2.277106 1.2390443
"t_n197" 1843.72924309909 1.48970751602133 2.01552 1.0989432
"t_n198" 2041.41572406333 1.38908344996945 1.8795641 1.0315166
"t_n199" 2378.02335793456 1.22291181536581 1.7533288 0.736683
"t_n200" 3507.99868086081 4.14020912490417 4.3337327 3.8960246
"t_n201" 3166.64411200502 3.72626830597745 4.1102943 3.2816566
"t_n202" 2838.61045397628 2.85267652607633 3.666336 1.6840862
"t_n203" 2050.33496606703 0.951191329531693 1.9534928 0.2468965
"t_n204" 2164.93881037631 3.34051114043109 3.797098 2.8462523
"t_n205" 2023.01402086601 2.75673102830398 3.2344602 2.1809339
