"parameter" "ESS" "mean" "high_hpd" "low_hpd"
"t_n142" 2247.16280537461 6.18594525832454 6.856435 5.7022422
"t_n143" 2130.59269950749 6.09486027826787 6.720953 5.6249283
"t_n144" 3015.99441301576 3.3588068733237 5.832985 1.6156294
"t_n145" 2174.03089520222 5.79496926165213 6.3503314 5.3559784
"t_n146" 14672.2720488309 5.14668983069274 5.7766169 4.2960112
"t_n147" 6286.07715694681 2.49590900201655 3.8957166 1.4529031
"t_n148" 4469.35937073595 1.80535465371924 2.8936474 0.9346147
"t_n149" 2135.57388977021 5.62137260382756 6.1353864 5.1998965
"t_n150" 3895.76636659297 4.38462569533915 5.5261387 2.7996489
"t_n151" 2395.25176526739 5.51498133049275 6.0164697 5.1020926
"t_n152" 2545.67824717381 5.31919736495195 5.7913204 4.9374987
"t_n153" 4374.42870544043 4.85962828481196 5.443229 4.1845417
"t_n154" 3357.33388135895 3.02273920247208 3.9097804 2.2720607
"t_n155" 2836.83451304644 2.39411859966669 3.1332863 1.7319184
"t_n156" 3668.6978088659 1.73655796222988 2.5224492 1.0631634
"t_n157" 3400.50407302851 1.93273424903616 2.7133671 1.2301146
"t_n158" 2884.6120339076 5.18145147616799 5.6311153 4.819642
"t_n159" 4518.77551404794 3.31171016754625 4.4657624 1.7170755
"t_n160" 3713.05934604633 4.96516357341814 5.3665119 4.6369366
"t_n161" 3595.18919097021 1.79234566245764 3.0745718 0.8360537
"t_n162" 8099.69547973382 4.61266889233376 4.8784926 4.3660321
"t_n163" 1895.62486155103 2.84661218448975 4.3531671 1.5499895
"t_n164" 1817.22443465649 2.39943241226043 4.045834 1.2084781
"t_n165" 8955.35060350076 4.41542530080551 4.5143505 4.2085414
"t_n166" 11002.1709118499 4.0495217789345 4.4000676 3.4329462
"t_n167" 7536.95021260747 2.40845292284318 3.0926793 2.0498302
"t_n168" 4219.73454906107 1.68629517515138 2.6081532 0.9187154
"t_n169" 3075.27095364572 2.0870658504472 2.916334 1.3569206
"t_n170" 2533.18786586466 1.56287329617243 2.2853687 0.9102633
"t_n171" 2806.7650177888 1.26321698256764 1.9778395 0.6142361
"t_n172" 5814.32767821133 4.22329943927004 4.3902145 3.9962882
"t_n173" 4362.75790151761 3.68596935014166 4.1493454 3.0204161
"t_n174" 4465.51256178413 3.19528866462974 3.8020757 2.3872793
"t_n175" 3534.66296520656 1.25803967025165 2.0841573 0.5621708
"t_n176" 1696.03895067705 3.06730160120549 3.6574736 2.5631712
"t_n177" 3247.16711355731 2.0687543586023 2.8364 1.5614582
"t_n178" 4315.85902528801 1.38322892369313 2.1255339 0.7661497
"t_n179" 1282.21021499019 2.80533630918282 3.3178519 2.3639279
"t_n180" 1872.7044113928 2.43601358347314 2.9764031 1.8818421
"t_n181" 3396.20031006804 1.8497256654797 2.5556081 1.1036566
"t_n182" 2872.67959658202 1.76923086796845 2.3728396 1.1929346
"t_n183" 3647.79546108152 1.08056877753458 1.7094293 0.5227863
"t_n184" 1296.85338970014 2.71577427434587 3.1919108 2.28277
"t_n185" 1707.46979773891 2.32023306092995 2.8204425 1.8449189
"t_n186" 3794.8566033466 1.6615403421421 2.2930415 1.0511222
"t_n187" 3610.08833827562 0.490586495105827 1.0524917 0.1764989
"t_n188" 2014.46742274291 1.95716848465085 2.4944547 1.4965674
"t_n189" 6684.48723054886 1.07523261380479 1.5416958 0.7483011
"t_n190" 2814.23835908712 1.54015914831954 2.1227754 0.9959255
"t_n191" 3550.79740555079 0.526607610382756 1.0998831 0.1919396
"t_n192" 2231.56028317377 2.21491283750903 2.6977696 1.7473467
"t_n193" 3595.80758179479 0.469374422965391 1.0180834 0.1877928
"t_n194" 2844.74057790636 0.209311278612299 0.5224488 0.0614182
"t_n195" 2322.39728187234 1.97101513005944 2.4451266 1.5565516
"t_n196" 2292.61741848625 1.71203566405755 2.1598693 1.3521362
"t_n197" 2519.07647760505 1.57524289028943 1.9854882 1.245101
"t_n198" 3364.54955471355 1.36226973093717 1.723288 1.0653954
"t_n199" 4111.88104640257 1.20003383979779 1.6219939 0.6602146
"t_n200" 4818.83859228835 4.10711873925893 4.2946876 3.8729748
"t_n201" 4818.79815128216 3.7434491196378 4.096615 3.3250686
"t_n202" 2938.05995361711 2.33482727815121 3.2934759 1.3993012
"t_n203" 2315.66907199098 1.05240227561802 1.9054188 0.4114231
"t_n204" 2667.22192898627 3.27600212208211 3.7314278 2.804997
"t_n205" 2530.21571845924 2.86419846893506 3.3553061 2.3572388
"t_n206" 3186.96430783581 1.02563434900283 1.7884812 0.4267534
"t_n207" 2368.13723679365 2.54709476827954 3.0229867 1.9809697
"t_n208" 2354.77808235665 2.12823361856008 2.6560687 1.5686051
"t_n209" 3344.94242878889 1.0053847073107 1.5403941 0.5435135
"t_n210" 4318.46734740577 0.248371595622465 0.5456705 0.0802592
"t_n211" 2732.84977655856 3.02746192380979 3.5601184 2.5155926
"t_n212" 3370.4313258575 2.78101281173824 3.3904885 2.1290105
"t_n213" 3432.80436541217 2.1814625562191 2.8751861 1.4703524
"t_n214" 3703.61533674779 1.48184434624188 2.2674155 0.7554819
"t_n215" 2992.91707197008 2.27818073094828 2.8914644 1.6826295
"t_n216" 3311.53650680542 1.75551477863452 2.4476874 1.1303877
"t_n217" 3552.94227903118 1.89213223820899 2.5647643 1.2367621
"t_n218" 4277.09422627544 4.0250206375868 4.228238 3.7803858
"t_n219" 3362.95844333487 2.6088502346203 3.4459902 1.7978846
"t_n220" 1998.63563113979 1.75099576527971 2.5987091 1.0808347
"t_n221" 1829.61972336967 1.46225499335592 2.2924141 0.8165951
"t_n222" 3127.32371917376 3.88137829617243 4.1092881 3.6258737
"t_n223" 3119.03888396302 2.45295429891117 3.0245998 2.1047207
"t_n224" 1061.46827940476 1.92903580171657 2.447682 1.4770113
