"parameter" "ESS" "mean" "high_hpd" "low_hpd"
"t_n142" 4253.58087929433 6.10153450969391 6.6911588 5.6788299
"t_n143" 3273.14433541354 6.00764574480862 6.5502821 5.5916389
"t_n144" 5105.51434816382 4.97402238361758 6.0637262 3.1185631
"t_n145" 3198.85665380191 5.74062572345981 6.2178288 5.3532486
"t_n146" 13545.422941488 5.26657374715849 5.7939496 4.4370585
"t_n147" 5048.58762651512 3.26143873479807 4.8312555 1.9014681
"t_n148" 3064.86317151859 1.75967867635687 2.9498475 0.8178154
"t_n149" 3961.29641514738 5.4460523904672 5.8699621 5.0897177
"t_n150" 3739.69893378839 4.54795526689628 5.37268 3.1941623
"t_n151" 4626.65744859288 5.25744193348147 5.6553463 4.9196431
"t_n152" 4655.70096100668 5.07788754591412 5.4348638 4.7732519
"t_n153" 8018.16908213987 4.58224717964558 5.0574051 4.1099208
"t_n154" 1926.29966327066 2.74095536989612 3.4445037 2.0551318
"t_n155" 1596.09192333218 2.33517835714682 2.9851271 1.6728651
"t_n156" 1808.21876038948 1.85169003845342 2.5764766 1.1348275
"t_n157" 2157.15184782671 1.69173538813399 2.4052048 1.0033651
"t_n158" 5278.26099624762 4.94596397240709 5.2770738 4.6606041
"t_n159" 5341.21251556566 3.90524496363535 4.6231241 2.6183956
"t_n160" 6615.01164174754 4.72521515678573 4.9987316 4.4738278
"t_n161" 2036.62005650509 1.63875044774179 2.874914 0.7752119
"t_n162" 8095.74713772014 4.56694918896172 4.7827541 4.336657
"t_n163" 1328.72110901013 2.6690745866563 4.109446 1.5329619
"t_n164" 1264.84560641085 2.2173265555358 3.6215565 1.1339593
"t_n165" 7792.13904663289 4.41298840467196 4.5122881 4.2073686
"t_n166" 6306.54350121584 4.05831982432643 4.3673085 3.4582972
"t_n167" 9820.43399887213 2.31643881120493 2.7939771 2.0050318
"t_n168" 3315.08966212402 1.28682947994556 2.0448857 0.8188406
"t_n169" 2341.64869373642 1.93795997810677 2.7971265 1.2301365
"t_n170" 2026.78462569983 1.31108955154714 2.0401348 0.7801681
"t_n171" 2022.71308015141 0.98924059403922 1.6621604 0.5227644
"t_n172" 5273.65391900837 4.24734593615355 4.4025344 4.026078
"t_n173" 1677.88245682017 3.49766770826065 4.0697058 2.8772594
"t_n174" 2020.06269571334 3.21478322366535 3.8324262 2.476531
"t_n175" 2302.67295854645 1.35860380853841 2.2759672 0.7010552
"t_n176" 1132.73273233158 3.12307875083606 3.6679422 2.6552689
"t_n177" 2241.79301328417 2.15757673907005 2.9162637 1.5649586
"t_n178" 2268.14116459362 1.69513773848675 2.5461607 0.9435282
"t_n179" 1040.75991255264 2.93488248230654 3.4317086 2.5049204
"t_n180" 1766.94833254581 2.39015596969057 2.9299647 1.8201631
"t_n181" 2398.52922715023 1.5707329302761 2.2981053 0.8500483
"t_n182" 2718.12601110098 1.66844317123493 2.2905051 1.0873982
"t_n183" 3253.41741655487 1.03947509314483 1.6707233 0.576795
"t_n184" 980.671287839638 2.74231452247097 3.216977 2.3109152
"t_n185" 1092.60956798806 2.48024556614633 2.9491699 2.0400617
