"parameter" "ESS" "mean" "high_hpd" "low_hpd"
"t_n142" 1528.21389348201 6.39144272238765 7.1411606 5.7853643
"t_n143" 1507.8402973593 6.30201725698572 7.0078538 5.7198399
"t_n144" 3386.59526057207 3.47190859533359 6.1197527 1.5752418
"t_n145" 1528.50523468537 6.04657118230098 6.675363 5.5050426
"t_n146" 10749.0871712284 4.79325695067496 5.6332822 4.2189486
"t_n147" 8221.62628469702 2.40037133107605 3.7418549 1.3501474
"t_n148" 5110.53248363167 1.33637860213321 2.3643516 0.554449
"t_n149" 1527.45320636512 5.89735061797122 6.48646 5.3752426
"t_n150" 1608.27063261054 4.86575932748181 5.8271938 3.0399763
"t_n151" 1680.94163626993 5.76081152262652 6.3259757 5.2460285
"t_n152" 1824.95954280093 5.51921080385534 6.0506188 5.0373947
"t_n153" 3687.74151940734 5.05566767908449 5.7161398 4.2316555
"t_n154" 2133.48576289721 2.79396252553747 3.8318519 1.9950358
"t_n155" 1821.07843010355 2.42636197351814 3.3107321 1.6678399
"t_n156" 2073.37176042164 1.87117536020777 2.712513 1.1125344
"t_n157" 2509.42852284822 1.76571508299539 2.6394889 1.0170822
"t_n158" 2039.01405985108 5.3838777602411 5.89729 4.9193279
"t_n159" 3200.29293917591 2.87205114509749 4.3027253 1.3155767
"t_n160" 3609.00411762581 4.96547340978279 5.4170637 4.6006229
"t_n161" 3956.39243175341 1.95179540516638 3.4574225 0.848827
"t_n162" 8056.19179668421 4.64235927326815 4.9692975 4.3766431
"t_n163" 2519.61816359483 2.14884040120549 3.6980034 1.0981795
"t_n164" 2425.8258665908 1.7554393852786 2.9809682 0.832531
"t_n165" 10644.9185703552 4.42637791226598 4.5155803 4.2246537
"t_n166" 8274.11080869204 4.0580164577079 4.4056508 3.3523423
"t_n167" 8114.90238102457 2.38954949896672 3.0711894 2.0432707
"t_n168" 5573.19526070531 1.4503516798289 2.4219979 0.8158349
"t_n169" 3866.45327795611 2.27710569080051 3.1898232 1.430158
"t_n170" 3179.40585952664 1.54170181259374 2.3824822 0.8468777
"t_n171" 3055.5290781263 1.11537223247597 1.902564 0.4946064
"t_n172" 6020.97312271879 4.25430062352092 4.4132528 4.0212717
"t_n173" 2801.98758766056 3.35015830682184 4.0785273 2.6416423
"t_n174" 3682.10729428288 2.80444460233876 3.685508 1.7562217
"t_n175" 4614.7876376623 1.46248188731182 2.4703819 0.6637453
"t_n176" 1945.48045222724 2.89075967032943 3.5816998 2.3682511
"t_n177" 3429.04673492449 2.0333238182601 2.8230169 1.5270966
"t_n178" 3783.29021401676 1.72283441976001 2.5897848 0.9822978
"t_n179" 1577.78891811511 2.72801208216766 3.3239244 2.2536462
"t_n180" 2452.16479064488 2.34798895600244 2.9638472 1.668435
"t_n181" 3570.11240791411 1.86884871577135 2.6192211 1.0600854
"t_n182" 3182.51506280304 1.62704449378923 2.3648262 0.9475402
