Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	TL	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	norm_gamma_rates[1]	alpha	pinvar
0	-13911.9	-13913.7	1.78336	0.042162	0.207607	0.0320461	0.186624	0.128278	0.0193893	0.155028	0.0139846	0.103899	0.111608	0.0247257	0.0994559	0.1283	0.0372918	0.0750681	0.0117403	0.0122742	0.139368	0.0708078	0.0720843	0.1072	0.107153	0.0762762	1.96237	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.888057	0.0113492	0.0441533	0.0564409	1	45.896	0.53162
10	-13783.2	-13785.2	2.02982	0.042162	0.207607	0.0320461	0.186624	0.128278	0.0193893	0.175447	0.0139846	0.103899	0.111608	0.0247257	0.0806692	0.105589	0.0336871	0.0750681	0.0117403	0.0123111	0.139368	0.0708078	0.0720843	0.1072	0.107153	0.0762762	1.93773	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.888057	0.0113492	0.0441533	0.0564409	1	45.896	0.53162
20	-13620	-13622.6	2.61881	0.042162	0.207607	0.0178867	0.186624	0.104259	0.0193893	0.175447	0.012355	0.084808	0.111608	0.0247257	0.0806692	0.105589	0.0336871	0.0750681	0.0117403	0.0123111	0.139368	0.0708078	0.0720843	0.1072	0.107153	0.0762762	1.87883	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.888057	0.0113492	0.0441533	0.0564409	1	45.896	0.53162
30	-13565.6	-13568.4	2.80933	0.042162	0.207607	0.0178867	0.186624	0.0937779	0.0193893	0.175447	0.012355	0.084808	0.111608	0.0196277	0.0806692	0.105589	0.0336871	0.0750681	0.0117403	0.0088383	0.139368	0.0708078	0.0720843	0.1072	0.107153	0.0762762	1.85977	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.888057	0.0113492	0.0441533	0.0564409	1	45.896	0.53162
40	-13333.7	-13336.6	2.94092	0.042162	0.207607	0.0178867	0.142644	0.0937779	0.0193893	0.247658	0.012355	0.084808	0.111608	0.0196277	0.0695526	0.0978807	0.0336871	0.0750681	0.0117403	0.0088383	0.139368	0.0708078	0.0495188	0.1072	0.107153	0.0762762	1.84662	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.888057	0.0113492	0.0441533	0.0564409	1	45.896	0.53162
50	-12201.1	-12203.9	2.74671	0.042162	0.207607	0.0178867	0.142644	0.0937779	0.0193893	0.27838	0.0119317	0.084808	0.111608	0.0196277	0.0695526	0.0978807	0.0336871	0.0668612	0.0117403	0.00616671	0.139368	0.0708078	0.0495188	0.1072	0.107153	0.0762762	1.86604	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	1	45.896	0.53162
60	-8775.35	-8778.32	2.96637	0.042162	0.207607	0.0178867	0.142644	0.0937779	0.0193893	0.27838	0.0119317	0.084808	0.101945	0.0196277	0.0695526	0.0978807	0.0336871	0.0668612	0.0117403	0.00616671	0.127066	0.0708078	0.0495188	0.1072	0.107153	0.0762762	1.84407	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	0.157895	7.24675	0.53162
70	-8766.91	-8770.12	3.2122	0.042162	0.207607	0.0178867	0.142644	0.0937779	0.0144384	0.27838	0.0119317	0.084808	0.101945	0.0196277	0.0695526	0.0794618	0.0336871	0.0668612	0.0117403	0.00501727	0.127066	0.0708078	0.0494555	0.1072	0.107153	0.0762762	1.81949	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	0.157895	7.24675	0.53162
80	-8726.92	-8730.92	3.99925	0.042162	0.207607	0.0178867	0.0951634	0.0682426	0.0144384	0.27838	0.0109589	0.084808	0.101945	0.0196277	0.0695526	0.0794618	0.0336871	0.0668612	0.0117403	0.00501727	0.127066	0.0708078	0.0494555	0.1072	0.107153	0.0715601	1.74078	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	0.157895	7.24675	0.53162
90	-8708.6	-8713.06	4.45523	0.042162	0.207607	0.016468	0.0951634	0.0682426	0.0144384	0.27838	0.0109589	0.0643269	0.101945	0.0131446	0.0695526	0.0622467	0.0336871	0.0668612	0.0117403	0.00501727	0.127066	0.0708078	0.0494555	0.1072	0.107153	0.0715601	1.69518	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	0.157895	7.24675	0.53162
100	-8671.94	-8676.91	4.97792	0.0349248	0.207607	0.016468	0.0951634	0.0682426	0.0144384	0.27838	0.0109589	0.0634588	0.101945	0.0128822	0.0677663	0.0622467	0.0336871	0.0668612	0.0117403	0.00323146	0.121934	0.0708078	0.0494555	0.0720034	0.107153	0.0715601	1.64292	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	0.157915	7.24765	0.53162
110	-8651.16	-8656.53	5.37326	0.0349248	0.207607	0.016468	0.0951634	0.0682426	0.0144384	0.27838	0.0109589	0.0567008	0.101945	0.0128822	0.0677663	0.0622467	0.0336871	0.0508605	0.0117403	0.00268124	0.121934	0.0604073	0.0494555	0.0720034	0.107153	0.0657351	1.60338	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	0.157915	7.24765	0.53162
120	-8630.61	-8636.33	5.71872	0.0242813	0.207607	0.016468	0.0951634	0.0682426	0.0144384	0.27838	0.0152156	0.0567008	0.101945	0.0128822	0.0551187	0.0622467	0.0336871	0.0508605	0.0117403	0.00268124	0.121934	0.0604073	0.0494555	0.0665649	0.0970798	0.0657351	1.56884	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	0.157915	7.24765	0.53162
130	-8606.66	-8612.82	6.15942	0.0242813	0.207607	0.016468	0.0951634	0.0682426	0.0144384	0.27838	0.0140989	0.0543439	0.101945	0.0128822	0.0551187	0.0622467	0.0336871	0.0384938	0.0117403	0.00268124	0.121934	0.051489	0.0301444	0.0665649	0.0970798	0.0657351	1.52477	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	0.157915	7.24765	0.53162
140	-8551.06	-8558.23	7.16571	0.0242813	0.148602	0.016468	0.0951634	0.0682426	0.0144384	0.27838	0.0140989	0.0543439	0.101945	0.0128822	0.0551187	0.0622467	0.0336871	0.0230875	0.0117403	0.00237804	0.121934	0.051489	0.0301444	0.0406505	0.0970798	0.0657351	1.42414	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	0.157915	7.24765	0.53162
150	-8519.11	-8526.85	7.73961	0.0242813	0.106404	0.016468	0.0951634	0.0682426	0.0144384	0.27838	0.0140989	0.0543439	0.101945	0.0128822	0.046124	0.0622467	0.0336871	0.0230875	0.0117403	0.00237804	0.121934	0.0452916	0.0301444	0.0406505	0.0970798	0.0657351	1.36675	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	0.157915	7.24765	0.53162
160	-6608.47	-6616.42	7.94072	0.0242813	0.106404	0.016468	0.0951634	0.0682426	0.0172524	0.27838	0.0140989	0.0543439	0.101945	0.0128822	0.046124	0.0622467	0.0217746	0.015546	0.0117403	0.00237804	0.121934	0.0452916	0.0301444	0.0406505	0.0970798	0.0622636	1.34664	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.489821	0.029789	0.115892	0.364498	0.157915	7.24765	0.53162
170	-6598.21	-6606.52	8.31064	0.0242813	0.106404	0.016468	0.0951634	0.0682426	0.0172524	0.27838	0.0140989	0.0543439	0.101945	0.0128822	0.046124	0.0622467	0.0217746	0.015546	0.00910028	0.00172313	0.0921953	0.0452916	0.0301444	0.0406505	0.0931219	0.0622636	1.30964	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.489821	0.029789	0.115892	0.364498	0.157915	7.24765	0.53162
180	-6586.89	-6595.13	8.23639	0.0242813	0.106404	0.016468	0.0951634	0.0682426	0.0177361	0.27838	0.0209053	0.0543439	0.101945	0.0128822	0.046124	0.0622467	0.0217746	0.015546	0.00910028	0.0018571	0.0921953	0.0452916	0.0301444	0.0406505	0.0931219	0.0622636	1.31707	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.489821	0.029789	0.115892	0.364498	0.126043	5.78487	0.53162
190	-6541.58	-6549.38	7.80588	0.0242813	0.106404	0.016468	0.097431	0.0682426	0.0177361	0.320279	0.0201452	0.0543439	0.101945	0.0128822	0.046124	0.0622467	0.0217746	0.015546	0.00910028	0.00150252	0.0921953	0.0452916	0.0301444	0.0406505	0.0931219	0.0622636	1.36012	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.489821	0.029789	0.115892	0.364498	0.126043	5.78487	0.281722
200	-5834.34	-5842.33	7.99195	0.0242813	0.106404	0.016468	0.097431	0.0682426	0.0177361	0.320279	0.0201452	0.0543439	0.101945	0.0181584	0.046124	0.0622467	0.0217746	0.015546	0.00910028	0.00150252	0.0921953	0.0452916	0.0301444	0.02883	0.0931219	0.0502005	1.34151	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.390873	0.225779	0.0924809	0.290867	0.126043	5.78487	0.281722
210	-5829.22	-5837.4	8.1845	0.0242813	0.0906797	0.0274591	0.097431	0.0490415	0.0177361	0.320279	0.0201452	0.0543439	0.101945	0.0181584	0.046124	0.0683185	0.0217746	0.0141538	0.00910028	0.00150252	0.0921953	0.0452916	0.0301444	0.02883	0.0931219	0.0502005	1.32226	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.390873	0.225779	0.0924809	0.290867	0.126043	5.78487	0.281722
220	-5828.06	-5836.25	8.18979	0.0242813	0.0906797	0.0315586	0.097431	0.0490415	0.0177361	0.320279	0.0201452	0.0543439	0.101945	0.0181584	0.046124	0.0683185	0.0217746	0.0141538	0.00910028	0.00150252	0.0921953	0.0452916	0.0160871	0.02883	0.0931219	0.0596298	1.32173	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.390873	0.225779	0.0924809	0.290867	0.126043	5.78487	0.281722
230	-5828.17	-5836.36	8.18432	0.0196122	0.0906797	0.0391021	0.097431	0.0490415	0.0177361	0.320279	0.0170025	0.0543439	0.101945	0.0181584	0.046124	0.0683185	0.0239482	0.0124139	0.00910028	0.00188332	0.0921953	0.0452916	0.0160871	0.02883	0.0931219	0.0596298	1.32228	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.390873	0.225779	0.0924809	0.290867	0.126043	5.78487	0.281722
240	-5824.56	-5832.85	8.29103	0.0196122	0.0906797	0.0391021	0.097431	0.0321089	0.0288951	0.320279	0.0166356	0.0563014	0.0986755	0.0181584	0.046124	0.0683185	0.0239482	0.0124139	0.00910028	0.00188332	0.0921953	0.0452916	0.0128693	0.02883	0.0931219	0.0596298	1.3116	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.390873	0.225779	0.0924809	0.290867	0.126043	5.78487	0.281722
250	-5819.35	-5827.88	8.52575	0.0196122	0.0906797	0.0391021	0.097431	0.0375869	0.0288951	0.320279	0.0166356	0.0559685	0.0986755	0.0181584	0.046124	0.0683185	0.0239482	0.0146184	0.0111897	0.00188332	0.0921953	0.0452916	0.0128693	0.02883	0.0602105	0.0596298	1.28813	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.390873	0.225779	0.0924809	0.290867	0.126043	5.78487	0.281722
260	-5815.89	-5824.59	8.69931	0.0196122	0.0906797	0.0362811	0.097431	0.0375869	0.0288951	0.320279	0.0166356	0.0559685	0.0986755	0.0181584	0.046124	0.0683185	0.0239482	0.0146184	0.0111897	0.00188332	0.0921953	0.0325011	0.0111252	0.02883	0.0602105	0.0596298	1.27078	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.390873	0.225779	0.0924809	0.290867	0.126043	5.78487	0.281722
270	-5770.3	-5779.22	8.92827	0.0196122	0.0873032	0.0362811	0.097431	0.0375869	0.0224112	0.320279	0.0166356	0.0559685	0.0986755	0.0181584	0.046124	0.0683185	0.0239482	0.0109521	0.0123065	0.00188332	0.0839294	0.0325011	0.0111252	0.0266091	0.0602105	0.0596298	1.24788	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.390873	0.225779	0.0924809	0.290867	0.126043	5.78487	0.0990802
280	-5769.32	-5778.36	9.03164	0.0196122	0.0873032	0.0362811	0.097431	0.0375869	0.0224112	0.320279	0.0166356	0.0559685	0.0986755	0.0181584	0.0303027	0.0683185	0.0239482	0.0164366	0.0123065	0.00188332	0.0839294	0.0325011	0.0111252	0.0266091	0.0602105	0.0596298	1.23754	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.390873	0.225779	0.0924809	0.290867	0.126043	5.78487	0.0990802
290	-5716.52	-5724.25	7.72771	0.0196122	0.0873032	0.0362811	0.097431	0.0370087	0.0224112	0.444792	0.0210256	0.0608307	0.0930217	0.0181584	0.0303027	0.0683185	0.0239482	0.0164366	0.0123065	0.00188332	0.0839294	0.0325011	0.0139843	0.0266091	0.0602105	0.0596298	1.36794	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.390873	0.225779	0.0924809	0.290867	0.126043	5.78487	0.0990802
300	-5711.03	-5719.14	8.10518	0.0196122	0.0873032	0.0362811	0.097431	0.0370087	0.0224112	0.444792	0.0210256	0.0608307	0.0930217	0.0176919	0.0375136	0.0481259	0.0239482	0.0164366	0.0123065	0.00188332	0.0839294	0.0219896	0.0139843	0.0266091	0.0464235	0.0596298	1.33019	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.390873	0.225779	0.0924809	0.290867	0.126043	5.78487	0.0990802
310	-5539.34	-5547.78	8.44503	0.0196122	0.0873032	0.0362811	0.097431	0.0370087	0.0133753	0.444792	0.0210256	0.0409159	0.0930217	0.0176919	0.0330124	0.0481259	0.0239482	0.0164366	0.0123065	0.00135029	0.0839294	0.0219896	0.0139843	0.0266091	0.0464235	0.0596298	1.2962	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0990802
320	-5539.59	-5548.16	8.57575	0.0196122	0.0873032	0.0362811	0.097431	0.0370087	0.0133753	0.444792	0.0210256	0.0263422	0.0930217	0.0176919	0.0330124	0.0481259	0.0239482	0.0164366	0.0123065	0.00242884	0.0839294	0.0263199	0.0100771	0.0266091	0.0464235	0.0596298	1.28313	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0990802
330	-5526.43	-5535.12	8.69434	0.014345	0.0873032	0.0295719	0.0995711	0.0370087	0.0133753	0.444792	0.0181132	0.0263422	0.0930217	0.0176919	0.0330124	0.0481259	0.0239482	0.0173258	0.0123065	0.00242884	0.0839294	0.0263199	0.0100771	0.0266091	0.0464235	0.0596298	1.27127	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.00444963
340	-5515.23	-5524.41	9.18174	0.014345	0.0821461	0.0191723	0.09192	0.0370087	0.0133753	0.444792	0.0181132	0.0263422	0.0930217	0.0176919	0.0210175	0.0481259	0.0239482	0.0173258	0.0123065	0.0024906	0.0839294	0.0243853	0.00706931	0.0179526	0.0464235	0.0596298	1.22253	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.00444963
350	-5465.94	-5473.29	7.34338	0.014345	0.0821461	0.0191723	0.0622006	0.0370087	0.0159714	0.670795	0.0181132	0.0263422	0.0930217	0.0176919	0.0158256	0.040988	0.0239482	0.0173258	0.0123065	0.0024906	0.0839294	0.0243853	0.00651292	0.0157962	0.0464235	0.0596298	1.40637	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.00444963
360	-5455.33	-5459.79	4.45427	0.0164848	0.0821461	0.0191723	0.0622006	0.0370087	0.022969	0.944685	0.0181132	0.0263422	0.0930217	0.0176919	0.0158256	0.046871	0.0239482	0.0173258	0.0123065	0.0024906	0.0839294	0.0243853	0.00651292	0.0157962	0.0464235	0.0596298	1.69528	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.00444963
370	-5452.62	-5457.19	4.57124	0.0143386	0.0821461	0.0191723	0.0622006	0.0177844	0.0278593	0.944685	0.0181132	0.0303495	0.0930217	0.0176919	0.0166015	0.046871	0.0239482	0.0173258	0.0123065	0.0024906	0.0839294	0.0243853	0.00651292	0.0157962	0.0464235	0.0596298	1.68358	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.00444963
380	-5446.3	-5451.17	4.87018	0.0143386	0.0821461	0.0184845	0.0622006	0.0177844	0.0205621	0.944685	0.0181132	0.0303495	0.0930217	0.0176919	0.0166015	0.046871	0.0239482	0.013806	0.0123065	0.00195443	0.0839294	0.0243853	0.00651292	0.0157962	0.0285703	0.0596298	1.65369	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.00444963
390	-5439.14	-5444.23	5.0909	0.0143386	0.0821461	0.0184845	0.0622006	0.0177844	0.0205621	0.944685	0.0182865	0.0294092	0.0930217	0.0176919	0.0166015	0.046871	0.0228182	0.013806	0.0123065	0.00195443	0.0627441	0.0243853	0.00752417	0.0157962	0.0285703	0.0596298	1.63162	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.00444963
400	-5442.27	-5447.1	4.83569	0.0143386	0.0821461	0.0246549	0.0622006	0.0275263	0.0205621	0.944685	0.0257985	0.0294092	0.0930217	0.0176919	0.0166015	0.046871	0.0265486	0.0122396	0.0123065	0.00188698	0.0627441	0.0243853	0.00752417	0.0157962	0.0285703	0.0596298	1.65714	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.00444963
410	-5442.46	-5447.31	4.84669	0.0157491	0.0821461	0.0246549	0.0622006	0.0275263	0.0205621	0.944685	0.0257985	0.0284989	0.0930217	0.0176919	0.0166015	0.046871	0.0239579	0.0122396	0.0123065	0.00287735	0.0627441	0.0243853	0.00752417	0.0157962	0.0285703	0.0596298	1.65604	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.00444963
420	-5433.36	-5438.6	5.23913	0.0157491	0.0501793	0.0246549	0.0622006	0.0273365	0.0231233	0.933842	0.0310528	0.0284989	0.0930217	0.0176919	0.0137916	0.046871	0.0239579	0.0122396	0.0132062	0.00287735	0.0627441	0.0243853	0.005374	0.0157962	0.0285703	0.0596298	1.61679	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0195068
430	-5432.76	-5438.05	5.28916	0.0171957	0.0501793	0.0246549	0.0622006	0.0273365	0.0192932	0.933842	0.0310528	0.0284989	0.0946736	0.0176919	0.0137916	0.046871	0.0239579	0.0122396	0.0166253	0.00287735	0.0627441	0.0243853	0.005374	0.0157962	0.0208799	0.0596298	1.61179	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0195068
440	-5433.46	-5438.71	5.24895	0.0171957	0.0501793	0.0246549	0.0622006	0.0273365	0.0192932	0.933842	0.0310528	0.0256017	0.0946736	0.0176919	0.0137916	0.0529269	0.0239579	0.0138657	0.0166253	0.00211338	0.0627441	0.0243853	0.005374	0.0157962	0.0208799	0.0596298	1.61581	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0863759
450	-5429.56	-5434.98	5.4216	0.0171957	0.0501793	0.0246549	0.0513036	0.0273365	0.0210358	0.933842	0.0310528	0.0256017	0.0946736	0.0149267	0.0152501	0.0529269	0.0239579	0.0138657	0.0166253	0.00152398	0.0627441	0.0243853	0.005374	0.00958222	0.0208799	0.0596298	1.59855	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0863759
460	-5429.09	-5434.51	5.4231	0.0111108	0.0501793	0.0245584	0.0513036	0.0387342	0.0187922	0.933842	0.0310528	0.0256017	0.0946736	0.0149267	0.0152501	0.0529269	0.0239579	0.0138657	0.0166253	0.0011241	0.0627441	0.0243853	0.005374	0.00685947	0.0208799	0.0596298	1.5984	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0863759
470	-5427.14	-5432.62	5.48111	0.0104613	0.045751	0.0165709	0.0513036	0.0387342	0.0187922	0.933842	0.0310528	0.0256017	0.0946736	0.0149267	0.0197796	0.0529269	0.0246967	0.0138657	0.0166253	0.000809912	0.0650543	0.0243853	0.005374	0.00685947	0.0208799	0.0596298	1.5926	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0863759
480	-5424.63	-5430.22	5.59146	0.0104613	0.045751	0.0165709	0.0392959	0.0387342	0.0187922	0.933842	0.0310528	0.0256017	0.0946736	0.0123631	0.0197796	0.0529269	0.0246967	0.0129927	0.0210347	0.000809912	0.0650543	0.0243853	0.005374	0.00685947	0.0208799	0.0596298	1.58156	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0863759
490	-5424.65	-5430.26	5.60973	0.0104613	0.045751	0.0165709	0.0392959	0.0387342	0.0187922	0.933842	0.0310528	0.0256017	0.0946736	0.0123631	0.0197796	0.0529269	0.0282259	0.00678219	0.0210347	0.000809912	0.0650543	0.0243853	0.00561279	0.00461773	0.0237367	0.0596298	1.57973	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0863759
500	-5414.09	-5420.29	6.19833	0.0104613	0.045751	0.0179483	0.0392959	0.0387342	0.0187922	0.933842	0.0145188	0.0256017	0.0946736	0.0123631	0.0197796	0.0529269	0.0282259	0.00678219	0.0210347	0.000809912	0.0469943	0.0243853	0.00561279	0.00461773	0.0214061	0.0363177	1.52087	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0863759
510	-5414.46	-5420.56	6.10476	0.0104613	0.045751	0.0179483	0.0392959	0.0387342	0.0187922	0.933842	0.0187513	0.0304373	0.0946736	0.0123631	0.0197796	0.0529269	0.0282259	0.00678219	0.0210347	0.000854107	0.0469943	0.0243853	0.00561279	0.00461773	0.0214061	0.0365619	1.53023	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0863759
520	-5412.72	-5418.79	6.06956	0.0104613	0.0385219	0.0179483	0.0392959	0.0387342	0.0187922	0.933842	0.0187513	0.0304373	0.0946736	0.0123631	0.0197796	0.0650334	0.0282259	0.00678219	0.0210347	0.000854107	0.0469943	0.0243853	0.00808692	0.00461773	0.0175747	0.0365619	1.53375	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0863759
530	-5410.06	-5416.31	6.25207	0.0104613	0.0385219	0.0179483	0.0321751	0.0387342	0.0266001	0.933842	0.0129962	0.0226705	0.0946736	0.0123631	0.0197796	0.0650334	0.0282259	0.00678219	0.0210347	0.000854107	0.0469943	0.0243853	0.00671666	0.00461773	0.0175747	0.032516	1.5155	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0863759
540	-5406.67	-5412.38	5.70727	0.0104613	0.0461555	0.0129325	0.0222865	0.0387342	0.0266001	1.00837	0.0129962	0.0226705	0.0946736	0.0123631	0.0197796	0.0650334	0.0282259	0.00678219	0.0173891	0.000854107	0.0469943	0.0243853	0.00671666	0.00461773	0.0175747	0.0233861	1.56998	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0863759
550	-5397.99	-5404.07	6.07789	0.011836	0.0335828	0.0129325	0.0222865	0.0387342	0.0266001	1.00837	0.0129962	0.0226705	0.0946736	0.0123631	0.0197796	0.0391691	0.0282259	0.00678219	0.0173891	0.000854107	0.0469943	0.0243853	0.00671666	0.00461773	0.0175747	0.0233861	1.53292	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0863759
560	-5397.19	-5403.24	6.05106	0.011836	0.0335828	0.0129325	0.0222865	0.0354638	0.0266001	1.00837	0.0129962	0.0251368	0.0946736	0.0123631	0.019839	0.0433552	0.0282259	0.00678219	0.0173891	0.000854107	0.0469943	0.0243853	0.00595801	0.00461773	0.0175747	0.0233861	1.5356	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0863759
570	-5397.65	-5403.77	6.12186	0.011836	0.0335828	0.0129325	0.0207806	0.0354638	0.0170433	1.00837	0.0129962	0.0291541	0.0946736	0.0123631	0.019839	0.0433552	0.0282259	0.00678219	0.0173891	0.000770362	0.0469943	0.0243853	0.00595801	0.0046672	0.0175747	0.0233861	1.52852	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0863759
580	-5392.67	-5398.89	6.22497	0.011836	0.0247662	0.0129325	0.0225075	0.0354638	0.0170433	1.00837	0.0211045	0.0291541	0.07748	0.0123631	0.019839	0.0433552	0.0282259	0.00678219	0.0173891	0.000770362	0.0469943	0.0243853	0.00595801	0.0105315	0.0175747	0.0233861	1.51821	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.325412	0.187966	0.244468	0.242154	0.126043	5.78487	0.0863759
590	-5382.95	-5389.24	6.28866	0.011836	0.0247662	0.0106574	0.0184796	0.0354638	0.0170433	1.00837	0.0211045	0.0291541	0.07748	0.0123631	0.019839	0.0433552	0.0282259	0.00678219	0.0173891	0.00105851	0.0487999	0.0243853	0.00379834	0.0105315	0.0175747	0.0233861	1.51184	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.333639	0.192718	0.225367	0.248276	0.126043	5.78487	0.0863759
