# BEAST v1.8.0, r5971
# Generated Tue Nov 11 23:15:48 EST 2014 [seed=1415708148141]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(AleocharaTriboliumMeloeDendroctonus)	tmrca(BombusApis)	tmrca(CarabusGyrinus)	tmrca(ColeopteraStrepsiptera)	tmrca(CopepodaBranchiopoda)	tmrca(Dicondylia)	tmrca(Diplura)	tmrca(Diptera)	tmrca(Ellipura)	tmrca(Embioptera)	tmrca(EmbiopteraPhasmatodea)	tmrca(EpiophlebiaCordulegaster)	tmrca(FormicidaeApidae)	tmrca(GlossinaSarcophagaTriarthria)	tmrca(HemipteraSternorrhyncha except Aleyrodidae)	tmrca(Holometabola)	tmrca(Hymenoptera)	tmrca(Isoptera)	tmrca(LiposcelisPediculusMenopon)	tmrca(ManducaBombyxParidesPolyommatusZygaenaYponomeutaNemophora)	tmrca(Mecoptera)	tmrca(Megaloptera)	tmrca(MegalopteraNeuroptera)	tmrca(Neuroptera)	tmrca(Odonata)	tmrca(OstracodaMalacostraca)	tmrca(ParidesPolyommatus)	tmrca(PediculusMenopon)	tmrca(Plecoptera)	tmrca(Pterygota)	tmrca(RanatraVelia)	tmrca(SiphonapteraMecoptera)	tmrca(Strepsiptera)	tmrca(Thysanoptera)	tmrca(ThysanopteraHemiptera)	tmrca(ZorapteraDermaptera)	tmrca(Lepidoptera)	yule.birthRate	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	speciation
10000	-1796.0050605009612	-1792.8344260712172	-3.170634429743993	537.2125222199552	150.63312253054693	43.95802176347819	209.3464725184929	365.43399517968527	486.12436896853876	441.5340496901026	42.91198909173952	363.5435505293928	308.49274096011675	109.1201350271982	234.19704157794774	117.04298048441329	95.96601311509698	37.335337461798716	130.25245871635514	408.2884410128877	380.5583035640376	146.77588016758654	104.27745683400471	99.15658067735541	108.09027651586021	90.24320758855707	190.10430482879252	77.80332307342	348.84850639057805	475.2985580915282	46.67704883552636	48.648689952515	166.82325327116706	439.98463271091686	104.46573016552038	164.20527578509785	125.14187685930592	117.96311359215693	343.7570554369536	170.85879192197805	240.13837790258117	0.00415408622805282	948.3719328080449	841009.9301859505	0.0	NaN	NaN	-3.170634429743993	-884.2606176629124
11000	-1773.4294073935148	-1770.2587729637708	-3.170634429743993	568.4445466897347	174.86521616225085	26.27390950718038	209.3464725184929	341.4853001510127	486.12436896853876	466.9187038048385	25.038449627111913	343.50691165106525	408.1647911356458	109.1201350271982	126.43498112736175	108.78299174363337	95.96601311509698	45.17933572120989	116.7228688052804	407.51718807153543	362.6720793179921	146.77588016758654	106.24637949960373	99.15658067735541	108.09027651586021	90.65999184049203	129.8604897206823	96.14342762830769	348.84850639057805	473.0607596365667	40.37980257388925	48.648689952515	165.87668927672127	440.7766245551513	106.35622570347851	170.25359787525832	125.14187685930592	117.96311359215693	407.44250983534005	170.85879192197805	177.81247080688252	0.005100302581245573	1688.3743713612096	465250.35143518687	0.0	NaN	NaN	-3.170634429743993	-876.0157921799411
12000	-1778.6077631468102	-1775.4371287170661	-3.170634429743993	571.2668908677152	285.6677966240761	26.13866437115872	208.26886006254372	346.3740208366754	408.30211637598944	446.57343932447924	299.73534495578537	341.7387073806679	255.87544893929513	108.55843835619373	266.7948453689803	108.2230305200785	95.47202738017387	44.94677476931525	116.12203700809032	399.55517662078825	295.2571808914255	146.0203502807024	105.69947550561281	98.64617147321748	107.53388104886616	60.17494462377465	136.1495814379424	108.97921888844655	347.05280622327507	494.45031176100423	45.052474354129316	48.398270475044185	165.02283783912222	442.91563436790267	105.80875627537202	169.37721626952415	124.49770815829028	117.35589762610704	405.1018701600048	169.97929507558487	149.05786691077273	0.004788295214194752	15722.823449242014	776395.2944270218	0.0	NaN	NaN	-3.170634429743993	-885.3550233457968
13000	-1771.9621294967353	-1768.7914950669913	-3.170634429743993	563.7672039204401	303.7327078824607	29.821845063996733	210.06497040589693	340.17892951734257	431.139621660078	457.0724233953386	145.67166013143722	322.0305734554766	370.160577487963	109.49464616916815	224.88112901540623	109.15634577636678	96.29537800410745	45.33439568892508	113.2197846120528	418.0388048777905	270.9188083883839	147.27962956710394	106.61102762716199	98.30134747017439	108.46125308112667	82.03966963330423	113.89850621582772	90.80312955333841	277.64260681951964	498.71445052357035	45.44100682680337	48.81565708855197	166.44599455032395	445.1073816486223	106.72125083411912	170.83792513391563	105.55902759995503	118.36797471490682	363.81195803803695	171.4451962667157	155.48821303705893	0.005122516693702353	31057.385834973673	408496.37429613323	0.0	NaN	NaN	-3.170634429743993	-882.980752527815
14000	-1767.44263570475	-1764.272001275006	-3.170634429743993	579.4115905644313	156.76198055370014	29.509485677573533	207.86471200055064	311.0672636719524	371.76848336346177	450.93811391330036	234.01626719911994	330.8247539075771	215.34780536695212	108.34777948735719	222.52568349127225	108.01302251391485	98.99551260893969	36.361905972014625	260.2981615506115	387.72522276670276	332.1252728898991	139.8551339168203	105.49436448629648	106.28130884740902	107.32521034499116	3.36435715078041	219.39239673546055	45.86237489415194	274.734528056285	458.6019177390887	44.96504952166638	48.30435308763239	164.70260916894438	442.86561211870685	105.60343319549465	169.04853787909866	104.45338329720335	117.12816718875405	430.7466314548894	169.64944834447434	137.91173776880458	0.005474920980124642	34290.64462558633	1103327.1223734226	0.0	NaN	NaN	-3.170634429743993	-880.9445827578195
15000	-1761.0854488047232	-1757.9148143749792	-3.170634429743993	570.7083045795014	153.90625583240214	29.543259293327765	208.1026132296224	319.5497698863653	312.3602827776945	435.52786833492604	117.41738652405097	323.85550110134216	313.681660446184	108.47178355547997	207.02619470307656	108.13664345257494	96.21680613168665	54.39123524196213	169.33345879744795	401.9860551660067	316.44326804349464	134.55596346463906	105.61510282004197	101.14036958448057	107.4480440824049	63.899184162445835	87.40168585184207	38.44190381137668	275.04896181112485	498.8564068547172	47.31195840401925	48.359637435121996	164.89111135758193	430.1129394887627	105.72429635841254	169.2420139845288	104.57293022764647	117.26222041339689	350.494475065242	169.84361219212343	138.96880450834777	0.005386375765885408	30515.060014490584	3385456.3693410004	0.0	NaN	NaN	-3.170634429743993	-874.9509335500461
16000	-1758.1279556011452	-1754.9573211714012	-3.170634429743993	577.7862257863981	99.90693749133203	29.543259293327765	208.1026132296224	329.7030670345944	312.3602827776945	442.2871163964351	242.98837425792834	328.9507249597588	341.22947083672955	113.99917758392213	127.04341864746706	108.13664345257494	96.21680613168665	54.39123524196213	116.42275318533206	390.99490124724616	260.25166914302025	134.55596346463906	105.61510282004197	98.41894274010427	107.4480440824049	31.63421968092821	87.40168585184207	37.36972494566557	256.25163482473954	446.97228115303915	47.31195840401925	48.359637435121996	164.89111135758193	436.57048797596093	105.72429635841254	169.2420139845288	104.57293022764647	117.26222041339689	392.2787548359946	168.77796208163915	116.86310841915768	0.0052527056074043905	41055.967116990345	2303315.1767793666	0.0	NaN	NaN	-3.170634429743993	-875.131430675624
17000	-1753.799596158297	-1750.628961728553	-3.170634429743993	578.9375707900143	222.39820352588686	29.543259293327765	208.1026132296224	329.7030670345944	243.8010680478028	441.67239318195	182.57363884293966	307.3964998930474	207.14015275452402	113.99917758392213	227.78911846260763	108.13664345257494	110.8382760873945	48.49751977837677	53.6906070665731	390.99490124724616	273.6598905261099	134.55596346463906	105.61510282004197	99.31982215560109	107.4480440824049	25.26126342722095	146.8745405029498	17.446516870812125	222.51629374328144	432.39711563461293	47.31195840401925	48.359637435121996	164.89111135758193	435.439407112184	105.72429635841254	169.2420139845288	104.57293022764647	117.26222041339689	416.50092086023267	168.77796208163915	115.94495427365221	0.005577394340929124	28428.138202181075	1483045.6936874555	0.0	NaN	NaN	-3.170634429743993	-870.3544373006972
18000	-1754.1450033375665	-1750.9743689078225	-3.170634429743993	557.5642124638084	210.70881081171765	29.482532105067445	207.67485113182587	333.51056670385896	389.3570910641475	443.0506811902405	129.3591938781496	307.83083434824465	271.6926528030935	113.76484834320007	227.91570289805304	107.9143648529261	103.12026400197955	48.397831454062285	53.580244172257	373.738195488372	280.6193484902401	134.27937904164983	105.39800733411722	99.46904696309038	107.22718092250742	16.59770789354297	28.355481630250196	16.374149684417695	322.0150456349161	509.41205291615654	47.21470704199319	48.26023253271887	164.55217199200806	440.1913045911892	105.50697642140419	168.89413118856675	104.35797696342414	117.02118387561462	415.6447888546016	168.43103316036607	118.8618931432058	0.005449502258695374	252899.4154311611	3505292.1361397076	0.0	NaN	NaN	-3.170634429743993	-872.1984076654591
19000	-1752.583822109527	-1749.413187679783	-3.170634429743993	552.7881807314966	31.036647232002164	29.482532105067445	207.67485113182587	332.0569873439363	375.59943299534035	462.8106354320902	281.5773016338012	299.52327628687453	432.07491588338473	113.76484834320007	182.21001288904716	107.9143648529261	103.12026400197955	48.397831454062285	53.580244172257	371.3088034212085	280.6193484902401	134.27937904164983	109.40745028882392	104.35915058662448	107.22718092250742	105.08145387601779	161.33385044425486	9.70078976375372	244.0818729645819	509.41205291615654	40.03314831314566	48.26023253271887	175.33178549379684	426.760156792456	110.44762072691023	168.89413118856675	104.35797696342414	117.02118387561462	398.03518723407996	168.43103316036607	118.8618931432058	0.004844998018624087	522389.3374212979	7060039.739784491	0.0	NaN	NaN	-3.170634429743993	-869.2006720615753
